PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
GA,b,1959,0,0.03367,0.03272,0.14,100000,3272,97193,6791484,67.91
GA,b,1959,1,0.00261,0.00261,0.5,96728,252,96602,6694291,69.21
GA,b,1959,2,0.00132,0.00132,0.5,96476,127,96412,6597689,68.39
GA,b,1959,3,0.00093,0.00093,0.5,96348,89,96304,6501278,67.48
GA,b,1959,4,0.00052,0.00052,0.5,96259,50,96234,6404974,66.54
GA,b,1959,5,0.00059,0.00059,0.5,96209,57,96180,6308740,65.57
GA,b,1959,6,0.00062,0.00062,0.5,96152,59,96122,6212560,64.61
GA,b,1959,7,0.00067,0.00067,0.5,96093,65,96060,6116438,63.65
GA,b,1959,8,0.00063,0.00063,0.5,96028,61,95998,6020377,62.69
GA,b,1959,9,0.00044,0.00044,0.5,95967,42,95947,5924380,61.73
GA,b,1959,10,0.00052,0.00052,0.5,95926,50,95900,5828433,60.76
GA,b,1959,11,0.00040,0.00040,0.5,95875,39,95856,5732533,59.79
GA,b,1959,12,0.00059,0.00059,0.5,95836,56,95808,5636677,58.82
GA,b,1959,13,0.00048,0.00048,0.5,95780,46,95757,5540868,57.85
GA,b,1959,14,0.00076,0.00076,0.5,95734,72,95698,5445111,56.88
GA,b,1959,15,0.00077,0.00077,0.5,95662,73,95625,5349413,55.92
GA,b,1959,16,0.00090,0.00090,0.5,95588,86,95546,5253788,54.96
GA,b,1959,17,0.00114,0.00114,0.5,95503,109,95448,5158243,54.01
GA,b,1959,18,0.00160,0.00159,0.5,95394,152,95318,5062794,53.07
GA,b,1959,19,0.00136,0.00136,0.5,95242,129,95177,4967477,52.16
GA,b,1959,20,0.00171,0.00171,0.5,95112,163,95031,4872300,51.23
GA,b,1959,21,0.00157,0.00157,0.5,94949,149,94875,4777269,50.31
GA,b,1959,22,0.00144,0.00144,0.5,94801,136,94732,4682394,49.39
GA,b,1959,23,0.00160,0.00160,0.5,94664,151,94589,4587661,48.46
GA,b,1959,24,0.00170,0.00170,0.5,94513,160,94433,4493073,47.54
GA,b,1959,25,0.00149,0.00149,0.5,94353,141,94282,4398640,46.62
GA,b,1959,26,0.00193,0.00192,0.5,94212,181,94121,4304358,45.69
GA,b,1959,27,0.00176,0.00176,0.5,94031,165,93948,4210236,44.78
GA,b,1959,28,0.00159,0.00158,0.5,93865,149,93791,4116289,43.85
GA,b,1959,29,0.00191,0.00191,0.5,93717,179,93627,4022498,42.92
GA,b,1959,30,0.00178,0.00178,0.5,93537,167,93454,3928871,42.00
GA,b,1959,31,0.00270,0.00270,0.5,93371,252,93245,3835417,41.08
GA,b,1959,32,0.00207,0.00207,0.5,93119,193,93022,3742172,40.19
GA,b,1959,33,0.00239,0.00239,0.5,92926,222,92815,3649150,39.27
GA,b,1959,34,0.00268,0.00268,0.5,92704,248,92580,3556335,38.36
GA,b,1959,35,0.00245,0.00245,0.5,92456,226,92343,3463755,37.46
GA,b,1959,36,0.00312,0.00312,0.5,92230,288,92086,3371412,36.55
GA,b,1959,37,0.00303,0.00303,0.5,91942,278,91803,3279327,35.67
GA,b,1959,38,0.00402,0.00401,0.5,91664,368,91480,3187524,34.77
GA,b,1959,39,0.00391,0.00391,0.5,91296,357,91117,3096044,33.91
GA,b,1959,40,0.00420,0.00419,0.5,90939,381,90749,3004927,33.04
GA,b,1959,41,0.00339,0.00338,0.5,90558,306,90405,2914178,32.18
GA,b,1959,42,0.00581,0.00580,0.5,90252,523,89991,2823773,31.29
GA,b,1959,43,0.00556,0.00554,0.5,89729,497,89480,2733782,30.47
GA,b,1959,44,0.00567,0.00565,0.5,89232,504,88979,2644302,29.63
GA,b,1959,45,0.00669,0.00667,0.5,88727,592,88431,2555322,28.80
GA,b,1959,46,0.00666,0.00664,0.5,88136,585,87843,2466891,27.99
GA,b,1959,47,0.00740,0.00737,0.5,87551,646,87228,2379048,27.17
GA,b,1959,48,0.00846,0.00843,0.5,86905,732,86539,2291820,26.37
GA,b,1959,49,0.00848,0.00844,0.5,86173,727,85809,2205281,25.59
GA,b,1959,50,0.01007,0.01002,0.5,85445,856,85017,2119472,24.81
GA,b,1959,51,0.01093,0.01087,0.5,84589,920,84129,2034455,24.05
GA,b,1959,52,0.01233,0.01225,0.5,83670,1025,83157,1950326,23.31
GA,b,1959,53,0.01254,0.01246,0.5,82644,1030,82129,1867169,22.59
GA,b,1959,54,0.01396,0.01386,0.5,81615,1131,81049,1785039,21.87
GA,b,1959,55,0.01433,0.01422,0.5,80483,1145,79911,1703990,21.17
GA,b,1959,56,0.01548,0.01536,0.5,79339,1218,78729,1624079,20.47
