PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
IL,b,1959,0,0.02588,0.02531,0.12,100000,2531,97774,6957373,69.57
IL,b,1959,1,0.00153,0.00153,0.5,97469,149,97395,6859600,70.38
IL,b,1959,2,0.00097,0.00097,0.5,97320,95,97273,6762205,69.48
IL,b,1959,3,0.00068,0.00068,0.5,97226,66,97193,6664932,68.55
IL,b,1959,4,0.00055,0.00055,0.5,97159,53,97133,6567739,67.60
IL,b,1959,5,0.00062,0.00062,0.5,97106,60,97076,6470606,66.63
IL,b,1959,6,0.00053,0.00053,0.5,97046,51,97020,6373530,65.68
IL,b,1959,7,0.00048,0.00048,0.5,96995,47,96971,6276510,64.71
IL,b,1959,8,0.00039,0.00039,0.5,96948,38,96929,6179538,63.74
IL,b,1959,9,0.00038,0.00038,0.5,96910,37,96891,6082610,62.77
IL,b,1959,10,0.00041,0.00041,0.5,96873,40,96853,5985718,61.79
IL,b,1959,11,0.00038,0.00038,0.5,96834,37,96815,5888865,60.81
IL,b,1959,12,0.00041,0.00041,0.5,96797,40,96777,5792050,59.84
IL,b,1959,13,0.00050,0.00050,0.5,96757,48,96733,5695273,58.86
IL,b,1959,14,0.00051,0.00051,0.5,96709,49,96684,5598540,57.89
IL,b,1959,15,0.00063,0.00063,0.5,96660,61,96630,5501856,56.92
IL,b,1959,16,0.00068,0.00068,0.5,96599,66,96566,5405226,55.96
IL,b,1959,17,0.00096,0.00096,0.5,96534,92,96487,5308660,54.99
IL,b,1959,18,0.00113,0.00113,0.5,96441,109,96387,5212172,54.05
IL,b,1959,19,0.00115,0.00115,0.5,96332,111,96277,5115786,53.11
IL,b,1959,20,0.00101,0.00101,0.5,96221,97,96172,5019509,52.17
IL,b,1959,21,0.00111,0.00111,0.5,96124,107,96070,4923337,51.22
IL,b,1959,22,0.00104,0.00103,0.5,96017,99,95967,4827267,50.28
IL,b,1959,23,0.00103,0.00103,0.5,95918,99,95868,4731299,49.33
IL,b,1959,24,0.00120,0.00120,0.5,95819,115,95762,4635431,48.38
IL,b,1959,25,0.00128,0.00128,0.5,95704,123,95643,4539669,47.43
IL,b,1959,26,0.00124,0.00124,0.5,95581,118,95522,4444027,46.49
IL,b,1959,27,0.00128,0.00128,0.5,95463,122,95402,4348505,45.55
IL,b,1959,28,0.00109,0.00109,0.5,95341,104,95289,4253102,44.61
IL,b,1959,29,0.00115,0.00115,0.5,95237,109,95182,4157813,43.66
IL,b,1959,30,0.00141,0.00141,0.5,95128,134,95061,4062631,42.71
IL,b,1959,31,0.00155,0.00154,0.5,94994,147,94921,3967570,41.77
IL,b,1959,32,0.00156,0.00156,0.5,94847,148,94773,3872650,40.83
IL,b,1959,33,0.00166,0.00165,0.5,94699,157,94621,3777876,39.89
IL,b,1959,34,0.00181,0.00181,0.5,94543,171,94457,3683255,38.96
IL,b,1959,35,0.00187,0.00187,0.5,94372,177,94284,3588798,38.03
IL,b,1959,36,0.00215,0.00215,0.5,94195,203,94094,3494515,37.10
IL,b,1959,37,0.00246,0.00246,0.5,93993,231,93877,3400421,36.18
IL,b,1959,38,0.00254,0.00254,0.5,93761,238,93642,3306544,35.27
IL,b,1959,39,0.00270,0.00270,0.5,93523,252,93397,3212901,34.35
IL,b,1959,40,0.00304,0.00303,0.5,93271,283,93130,3119504,33.45
IL,b,1959,41,0.00316,0.00316,0.5,92988,294,92841,3026374,32.55
IL,b,1959,42,0.00382,0.00381,0.5,92694,354,92518,2933533,31.65
IL,b,1959,43,0.00413,0.00412,0.5,92341,380,92151,2841015,30.77
IL,b,1959,44,0.00435,0.00434,0.5,91961,399,91761,2748864,29.89
IL,b,1959,45,0.00455,0.00454,0.5,91561,415,91353,2657104,29.02
IL,b,1959,46,0.00542,0.00540,0.5,91146,492,90900,2565750,28.15
IL,b,1959,47,0.00619,0.00617,0.5,90653,559,90374,2474851,27.30
IL,b,1959,48,0.00718,0.00715,0.5,90094,644,89772,2384477,26.47
IL,b,1959,49,0.00726,0.00724,0.5,89450,647,89126,2294705,25.65
IL,b,1959,50,0.00840,0.00837,0.5,88802,743,88431,2205579,24.84
IL,b,1959,51,0.00850,0.00847,0.5,88059,746,87687,2117148,24.04
IL,b,1959,52,0.00977,0.00972,0.5,87314,849,86889,2029461,23.24
IL,b,1959,53,0.00991,0.00986,0.5,86465,852,86039,1942572,22.47
IL,b,1959,54,0.01037,0.01032,0.5,85612,884,85171,1856533,21.69
IL,b,1959,55,0.01270,0.01262,0.5,84729,1070,84194,1771363,20.91
IL,b,1959,56,0.01303,0.01294,0.5,83659,1083,83118,1687169,20.17
