PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KS,b,1959,0,0.02385,0.02336,0.11,100000,2336,97933,7192506,71.93
KS,b,1959,1,0.00159,0.00159,0.5,97664,156,97586,7094573,72.64
KS,b,1959,2,0.00088,0.00088,0.5,97509,86,97466,6996986,71.76
KS,b,1959,3,0.00066,0.00066,0.5,97423,64,97391,6899521,70.82
KS,b,1959,4,0.00052,0.00052,0.5,97359,50,97334,6802130,69.87
KS,b,1959,5,0.00080,0.00080,0.5,97309,78,97270,6704796,68.90
KS,b,1959,6,0.00054,0.00054,0.5,97231,53,97205,6607526,67.96
KS,b,1959,7,0.00043,0.00043,0.5,97179,41,97158,6510321,66.99
KS,b,1959,8,0.00035,0.00035,0.5,97137,34,97120,6413163,66.02
KS,b,1959,9,0.00048,0.00048,0.5,97103,47,97080,6316042,65.04
KS,b,1959,10,0.00046,0.00046,0.5,97057,45,97034,6218962,64.08
KS,b,1959,11,0.00043,0.00043,0.5,97012,42,96991,6121928,63.10
KS,b,1959,12,0.00052,0.00052,0.5,96970,50,96945,6024937,62.13
KS,b,1959,13,0.00053,0.00053,0.5,96920,51,96894,5927992,61.16
KS,b,1959,14,0.00067,0.00067,0.5,96868,65,96836,5831098,60.20
KS,b,1959,15,0.00095,0.00095,0.5,96804,92,96757,5734262,59.24
KS,b,1959,16,0.00099,0.00099,0.5,96711,96,96663,5637505,58.29
KS,b,1959,17,0.00075,0.00075,0.5,96615,72,96579,5540841,57.35
KS,b,1959,18,0.00131,0.00131,0.5,96543,126,96480,5444262,56.39
KS,b,1959,19,0.00107,0.00106,0.5,96416,103,96365,5347783,55.47
KS,b,1959,20,0.00123,0.00123,0.5,96314,118,96255,5251418,54.52
KS,b,1959,21,0.00118,0.00118,0.5,96196,113,96139,5155163,53.59
KS,b,1959,22,0.00149,0.00149,0.5,96083,143,96011,5059024,52.65
KS,b,1959,23,0.00148,0.00148,0.5,95939,142,95868,4963013,51.73
KS,b,1959,24,0.00091,0.00091,0.5,95797,87,95754,4867144,50.81
KS,b,1959,25,0.00123,0.00123,0.5,95710,118,95651,4771391,49.85
KS,b,1959,26,0.00125,0.00125,0.5,95592,119,95533,4675739,48.91
KS,b,1959,27,0.00154,0.00154,0.5,95473,147,95400,4580207,47.97
KS,b,1959,28,0.00109,0.00108,0.5,95326,103,95275,4484807,47.05
KS,b,1959,29,0.00136,0.00136,0.5,95223,129,95158,4389532,46.10
KS,b,1959,30,0.00113,0.00113,0.5,95094,108,95040,4294374,45.16
KS,b,1959,31,0.00135,0.00135,0.5,94986,128,94922,4199334,44.21
KS,b,1959,32,0.00117,0.00116,0.5,94858,110,94802,4104412,43.27
KS,b,1959,33,0.00155,0.00155,0.5,94747,147,94674,4009610,42.32
KS,b,1959,34,0.00107,0.00107,0.5,94600,101,94550,3914936,41.38
KS,b,1959,35,0.00155,0.00155,0.5,94499,147,94426,3820387,40.43
KS,b,1959,36,0.00178,0.00178,0.5,94353,168,94269,3725961,39.49
