PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
LA,b,1959,0,0.03445,0.03346,0.14,100000,3346,97134,6817985,68.18
LA,b,1959,1,0.00283,0.00283,0.5,96654,273,96518,6720851,69.54
LA,b,1959,2,0.00132,0.00132,0.5,96381,127,96317,6624333,68.73
LA,b,1959,3,0.00103,0.00103,0.5,96254,99,96204,6528016,67.82
LA,b,1959,4,0.00058,0.00058,0.5,96155,56,96127,6431811,66.89
LA,b,1959,5,0.00057,0.00057,0.5,96099,55,96072,6335685,65.93
LA,b,1959,6,0.00058,0.00058,0.5,96044,55,96017,6239613,64.97
LA,b,1959,7,0.00044,0.00044,0.5,95989,42,95968,6143596,64.00
LA,b,1959,8,0.00048,0.00048,0.5,95947,46,95924,6047628,63.03
LA,b,1959,9,0.00031,0.00031,0.5,95901,29,95886,5951704,62.06
LA,b,1959,10,0.00044,0.00044,0.5,95872,42,95851,5855818,61.08
LA,b,1959,11,0.00050,0.00050,0.5,95830,48,95806,5759967,60.11
LA,b,1959,12,0.00069,0.00069,0.5,95782,66,95749,5664162,59.14
LA,b,1959,13,0.00059,0.00059,0.5,95716,56,95688,5568413,58.18
LA,b,1959,14,0.00072,0.00072,0.5,95659,69,95625,5472726,57.21
LA,b,1959,15,0.00083,0.00083,0.5,95590,79,95551,5377101,56.25
LA,b,1959,16,0.00125,0.00125,0.5,95511,119,95451,5281550,55.30
LA,b,1959,17,0.00119,0.00119,0.5,95392,114,95335,5186099,54.37
LA,b,1959,18,0.00130,0.00130,0.5,95278,124,95216,5090764,53.43
LA,b,1959,19,0.00134,0.00134,0.5,95154,128,95091,4995548,52.50
LA,b,1959,20,0.00155,0.00155,0.5,95027,147,94954,4900457,51.57
LA,b,1959,21,0.00164,0.00164,0.5,94880,156,94802,4805503,50.65
LA,b,1959,22,0.00185,0.00185,0.5,94724,175,94637,4710701,49.73
LA,b,1959,23,0.00150,0.00150,0.5,94549,142,94478,4616064,48.82
LA,b,1959,24,0.00172,0.00172,0.5,94407,162,94326,4521586,47.89
LA,b,1959,25,0.00187,0.00187,0.5,94245,176,94157,4427261,46.98
LA,b,1959,26,0.00203,0.00203,0.5,94069,191,93973,4333104,46.06
LA,b,1959,27,0.00147,0.00147,0.5,93878,138,93809,4239131,45.16
LA,b,1959,28,0.00177,0.00177,0.5,93740,166,93657,4145322,44.22
LA,b,1959,29,0.00197,0.00197,0.5,93574,184,93482,4051665,43.30
