PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MA,b,1959,0,0.02266,0.02222,0.11,100000,2222,98027,7079303,70.79
MA,b,1959,1,0.00109,0.00109,0.5,97778,107,97725,6981275,71.40
MA,b,1959,2,0.00077,0.00077,0.5,97672,75,97634,6883550,70.48
MA,b,1959,3,0.00070,0.00070,0.5,97597,68,97563,6785916,69.53
MA,b,1959,4,0.00066,0.00066,0.5,97529,64,97497,6688353,68.58
MA,b,1959,5,0.00054,0.00054,0.5,97465,53,97438,6590856,67.62
MA,b,1959,6,0.00042,0.00042,0.5,97412,41,97391,6493418,66.66
MA,b,1959,7,0.00046,0.00046,0.5,97371,45,97348,6396027,65.69
MA,b,1959,8,0.00032,0.00032,0.5,97326,31,97310,6298678,64.72
MA,b,1959,9,0.00041,0.00041,0.5,97295,40,97275,6201368,63.74
MA,b,1959,10,0.00042,0.00042,0.5,97255,40,97235,6104093,62.76
MA,b,1959,11,0.00024,0.00024,0.5,97214,24,97203,6006858,61.79
MA,b,1959,12,0.00042,0.00042,0.5,97191,41,97170,5909656,60.80
MA,b,1959,13,0.00033,0.00033,0.5,97150,32,97133,5812486,59.83
MA,b,1959,14,0.00055,0.00055,0.5,97117,53,97091,5715352,58.85
MA,b,1959,15,0.00062,0.00062,0.5,97064,60,97034,5618262,57.88
MA,b,1959,16,0.00079,0.00079,0.5,97004,77,96966,5521227,56.92
MA,b,1959,17,0.00062,0.00062,0.5,96928,60,96897,5424261,55.96
MA,b,1959,18,0.00060,0.00060,0.5,96867,58,96838,5327364,55.00
MA,b,1959,19,0.00069,0.00069,0.5,96809,66,96776,5230526,54.03
MA,b,1959,20,0.00086,0.00086,0.5,96743,83,96701,5133750,53.07
MA,b,1959,21,0.00088,0.00088,0.5,96659,85,96617,5037049,52.11
MA,b,1959,22,0.00101,0.00101,0.5,96574,97,96526,4940433,51.16
MA,b,1959,23,0.00104,0.00104,0.5,96477,101,96427,4843907,50.21
MA,b,1959,24,0.00083,0.00083,0.5,96376,80,96336,4747480,49.26
MA,b,1959,25,0.00075,0.00074,0.5,96297,72,96261,4651144,48.30
MA,b,1959,26,0.00085,0.00085,0.5,96225,82,96184,4554883,47.34
MA,b,1959,27,0.00065,0.00065,0.5,96143,62,96112,4458699,46.38
MA,b,1959,28,0.00099,0.00099,0.5,96081,95,96034,4362587,45.41
MA,b,1959,29,0.00104,0.00104,0.5,95986,99,95937,4266554,44.45
MA,b,1959,30,0.00124,0.00124,0.5,95887,119,95827,4170617,43.50
MA,b,1959,31,0.00120,0.00119,0.5,95768,114,95711,4074790,42.55
MA,b,1959,32,0.00138,0.00138,0.5,95653,132,95587,3979079,41.60
MA,b,1959,33,0.00138,0.00138,0.5,95521,131,95456,3883492,40.66
MA,b,1959,34,0.00155,0.00155,0.5,95390,148,95316,3788036,39.71
MA,b,1959,35,0.00152,0.00152,0.5,95242,144,95170,3692720,38.77
MA,b,1959,36,0.00167,0.00167,0.5,95098,159,95018,3597551,37.83
MA,b,1959,37,0.00192,0.00192,0.5,94939,182,94847,3502533,36.89
