PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,b,1959,0,0.02468,0.02415,0.12,100000,2415,97867,7012688,70.13
MI,b,1959,1,0.00137,0.00137,0.5,97585,134,97518,6914821,70.86
MI,b,1959,2,0.00090,0.00090,0.5,97451,87,97408,6817302,69.96
MI,b,1959,3,0.00069,0.00069,0.5,97364,67,97331,6719895,69.02
MI,b,1959,4,0.00053,0.00053,0.5,97297,52,97271,6622564,68.07
MI,b,1959,5,0.00052,0.00052,0.5,97245,51,97220,6525293,67.10
MI,b,1959,6,0.00051,0.00051,0.5,97194,50,97170,6428073,66.14
MI,b,1959,7,0.00046,0.00046,0.5,97145,45,97122,6330903,65.17
MI,b,1959,8,0.00040,0.00040,0.5,97100,39,97081,6233781,64.20
MI,b,1959,9,0.00041,0.00041,0.5,97061,40,97042,6136700,63.22
MI,b,1959,10,0.00042,0.00042,0.5,97022,41,97002,6039658,62.25
MI,b,1959,11,0.00034,0.00034,0.5,96981,33,96965,5942657,61.28
MI,b,1959,12,0.00051,0.00051,0.5,96949,50,96924,5845692,60.30
MI,b,1959,13,0.00039,0.00039,0.5,96899,38,96880,5748768,59.33
MI,b,1959,14,0.00058,0.00058,0.5,96861,56,96833,5651888,58.35
MI,b,1959,15,0.00073,0.00073,0.5,96805,70,96770,5555055,57.38
MI,b,1959,16,0.00082,0.00082,0.5,96735,79,96695,5458285,56.43
MI,b,1959,17,0.00089,0.00089,0.5,96655,86,96612,5361590,55.47
MI,b,1959,18,0.00082,0.00082,0.5,96569,80,96530,5264978,54.52
MI,b,1959,19,0.00091,0.00091,0.5,96490,88,96446,5168448,53.56
MI,b,1959,20,0.00117,0.00117,0.5,96402,113,96345,5072002,52.61
MI,b,1959,21,0.00104,0.00104,0.5,96289,100,96239,4975657,51.67
MI,b,1959,22,0.00125,0.00125,0.5,96189,120,96129,4879418,50.73
MI,b,1959,23,0.00104,0.00104,0.5,96069,100,96019,4783289,49.79
MI,b,1959,24,0.00101,0.00101,0.5,95969,97,95920,4687270,48.84
MI,b,1959,25,0.00118,0.00118,0.5,95872,113,95815,4591349,47.89
MI,b,1959,26,0.00098,0.00098,0.5,95758,94,95711,4495534,46.95
MI,b,1959,27,0.00116,0.00116,0.5,95664,111,95609,4399823,45.99
MI,b,1959,28,0.00128,0.00128,0.5,95554,122,95493,4304214,45.04
MI,b,1959,29,0.00110,0.00110,0.5,95431,105,95379,4208721,44.10
MI,b,1959,30,0.00119,0.00119,0.5,95327,113,95270,4113342,43.15
MI,b,1959,31,0.00150,0.00150,0.5,95214,143,95142,4018072,42.20
MI,b,1959,32,0.00146,0.00146,0.5,95071,139,95001,3922930,41.26
MI,b,1959,33,0.00147,0.00146,0.5,94932,139,94863,3827928,40.32
MI,b,1959,34,0.00173,0.00173,0.5,94793,164,94711,3733066,39.38
MI,b,1959,35,0.00170,0.00170,0.5,94629,161,94548,3638355,38.45
MI,b,1959,36,0.00211,0.00211,0.5,94468,200,94368,3543806,37.51
MI,b,1959,37,0.00188,0.00188,0.5,94268,177,94180,3449438,36.59
MI,b,1959,38,0.00221,0.00221,0.5,94091,208,93987,3355258,35.66
MI,b,1959,39,0.00229,0.00229,0.5,93883,215,93776,3261271,34.74
MI,b,1959,40,0.00282,0.00281,0.5,93668,263,93536,3167496,33.82
MI,b,1959,41,0.00279,0.00279,0.5,93405,260,93275,3073959,32.91
MI,b,1959,42,0.00320,0.00320,0.5,93144,298,92996,2980684,32.00
MI,b,1959,43,0.00348,0.00348,0.5,92847,323,92685,2887689,31.10
MI,b,1959,44,0.00438,0.00437,0.5,92524,404,92322,2795003,30.21
MI,b,1959,45,0.00459,0.00458,0.5,92120,422,91909,2702681,29.34
MI,b,1959,46,0.00488,0.00487,0.5,91698,447,91475,2610772,28.47
MI,b,1959,47,0.00566,0.00564,0.5,91251,515,90994,2519297,27.61
MI,b,1959,48,0.00600,0.00598,0.5,90736,543,90465,2428304,26.76
MI,b,1959,49,0.00741,0.00738,0.5,90193,666,89861,2337839,25.92
MI,b,1959,50,0.00760,0.00757,0.5,89528,677,89189,2247978,25.11
MI,b,1959,51,0.00832,0.00828,0.5,88850,736,88482,2158789,24.30
MI,b,1959,52,0.00928,0.00924,0.5,88114,814,87707,2070306,23.50
MI,b,1959,53,0.00901,0.00897,0.5,87300,783,86908,1982599,22.71
MI,b,1959,54,0.01066,0.01061,0.5,86517,918,86058,1895690,21.91
MI,b,1959,55,0.01251,0.01243,0.5,85599,1064,85067,1809632,21.14
MI,b,1959,56,0.01226,0.01218,0.5,84535,1030,84020,1724566,20.40
MI,b,1959,57,0.01335,0.01326,0.5,83505,1107,82951,1640546,19.65
MI,b,1959,58,0.01471,0.01460,0.5,82398,1203,81796,1557594,18.90
MI,b,1959,59,0.01618,0.01605,0.5,81195,1303,80543,1475798,18.18
MI,b,1959,60,0.01832,0.01815,0.5,79892,1450,79167,1395255,17.46
MI,b,1959,61,0.01843,0.01826,0.5,78441,1432,77725,1316088,16.78
MI,b,1959,62,0.02182,0.02159,0.5,77009,1662,76178,1238363,16.08
MI,b,1959,63,0.02286,0.02260,0.5,75347,1703,74495,1162185,15.42
MI,b,1959,64,0.02432,0.02403,0.5,73644,1769,72759,1087689,14.77
MI,b,1959,65,0.02731,0.02694,0.5,71875,1936,70907,1014930,14.12
MI,b,1959,66,0.03076,0.03029,0.5,69938,2119,68879,944023,13.50
MI,b,1959,67,0.03454,0.03395,0.5,67820,2302,66668,875144,12.90
MI,b,1959,68,0.03493,0.03433,0.5,65517,2249,64392,808476,12.34
MI,b,1959,69,0.03824,0.03752,0.5,63268,2374,62081,744083,11.76
MI,b,1959,70,0.04178,0.04092,0.5,60894,2492,59648,682003,11.20
MI,b,1959,71,0.04502,0.04403,0.5,58402,2571,57116,622355,10.66
MI,b,1959,72,0.04915,0.04797,0.5,55830,2678,54491,565239,10.12
MI,b,1959,73,0.05580,0.05429,0.5,53152,2886,51710,510747,9.61
MI,b,1959,74,0.05907,0.05738,0.5,50267,2884,48825,459038,9.13
MI,b,1959,75,0.06488,0.06285,0.5,47383,2978,45894,410213,8.66
MI,b,1959,76,0.07124,0.06879,0.5,44405,3055,42878,364319,8.20
MI,b,1959,77,0.07510,0.07238,0.5,41350,2993,39854,321441,7.77
MI,b,1959,78,0.08000,0.07693,0.5,38357,2951,36882,281588,7.34
MI,b,1959,79,0.09235,0.08828,0.5,35406,3126,33844,244706,6.91
MI,b,1959,80,0.09827,0.09367,0.5,32281,3024,30769,210863,6.53
MI,b,1959,81,0.10390,0.09877,0.5,29257,2890,27812,180094,6.16
MI,b,1959,82,0.11863,0.11199,0.5,26368,2953,24891,152281,5.78
MI,b,1959,83,0.12915,0.12132,0.5,23415,2841,21994,127390,5.44
MI,b,1959,84,0.13982,0.13069,0.5,20574,2689,19230,105396,5.12
MI,b,1959,85,0.14888,0.13856,0.5,17885,2478,16646,86166,4.82
MI,b,1959,86,0.16790,0.15490,0.5,15407,2387,14214,69520,4.51
MI,b,1959,87,0.17741,0.16296,0.5,13021,2122,11960,55306,4.25
MI,b,1959,88,0.20024,0.18202,0.5,10899,1984,9907,43346,3.98
MI,b,1959,89,0.22792,0.20460,0.5,8915,1824,8003,33440,3.75
MI,b,1959,90,0.21080,0.19070,0.5,7091,1352,6415,25437,3.59
MI,b,1959,91,0.25581,0.22680,0.5,5739,1302,5088,19022,3.31
MI,b,1959,92,0.25217,0.22393,0.5,4437,994,3940,13934,3.14
MI,b,1959,93,0.31831,0.27460,0.5,3444,946,2971,9993,2.90
MI,b,1959,94,0.30929,0.26786,0.5,2498,669,2163,7023,2.81
MI,b,1959,95,0.33153,0.28439,0.5,1829,520,1569,4859,2.66
MI,b,1959,96,0.35458,0.30118,0.5,1309,394,1112,3291,2.51
MI,b,1959,97,0.37836,0.31817,0.5,915,291,769,2179,2.38
MI,b,1959,98,0.40277,0.33526,0.5,624,209,519,1410,2.26
MI,b,1959,99,0.42771,0.35236,0.5,415,146,341,891,2.15
MI,b,1959,100,0.45306,0.36938,0.5,268,99,219,549,2.05
MI,b,1959,101,0.47868,0.38624,0.5,169,65,137,330,1.95
MI,b,1959,102,0.50445,0.40284,0.5,104,42,83,194,1.87
MI,b,1959,103,0.53023,0.41911,0.5,62,26,49,111,1.79
MI,b,1959,104,0.55587,0.43497,0.5,36,16,28,62,1.71
MI,b,1959,105,0.58124,0.45036,0.5,20,9,16,34,1.65
MI,b,1959,106,0.60622,0.46521,0.5,11,5,9,18,1.59
MI,b,1959,107,0.63067,0.47948,0.5,6,3,5,9,1.54
MI,b,1959,108,0.65450,0.49312,0.5,3,2,2,5,1.49
MI,b,1959,109,0.67759,0.50612,0.5,2,1,1,2,1.45
MI,b,1959,110+,0.69986,1.00000,1.43,1,1,1,1,1.43
MI,b,1960,0,0.02433,0.02382,0.12,100000,2382,97895,7018264,70.18
MI,b,1960,1,0.00147,0.00147,0.5,97618,144,97546,6920369,70.89
MI,b,1960,2,0.00087,0.00087,0.5,97474,85,97432,6822823,70.00
MI,b,1960,3,0.00074,0.00074,0.5,97389,72,97353,6725391,69.06
MI,b,1960,4,0.00059,0.00059,0.5,97317,58,97288,6628038,68.11
MI,b,1960,5,0.00050,0.00050,0.5,97259,49,97235,6530749,67.15
MI,b,1960,6,0.00049,0.00049,0.5,97211,47,97187,6433514,66.18
MI,b,1960,7,0.00038,0.00038,0.5,97163,37,97145,6336327,65.21
MI,b,1960,8,0.00044,0.00044,0.5,97126,42,97105,6239182,64.24
MI,b,1960,9,0.00039,0.00039,0.5,97084,38,97065,6142077,63.27
MI,b,1960,10,0.00039,0.00039,0.5,97046,38,97028,6045012,62.29
MI,b,1960,11,0.00034,0.00034,0.5,97009,33,96992,5947984,61.31
MI,b,1960,12,0.00040,0.00040,0.5,96975,39,96956,5850992,60.33
MI,b,1960,13,0.00041,0.00041,0.5,96936,40,96916,5754037,59.36
MI,b,1960,14,0.00048,0.00048,0.5,96896,47,96873,5657120,58.38
MI,b,1960,15,0.00046,0.00046,0.5,96850,45,96827,5560247,57.41
MI,b,1960,16,0.00069,0.00069,0.5,96805,66,96772,5463420,56.44
MI,b,1960,17,0.00097,0.00097,0.5,96739,94,96692,5366648,55.48
MI,b,1960,18,0.00095,0.00095,0.5,96645,92,96599,5269956,54.53
MI,b,1960,19,0.00118,0.00118,0.5,96553,114,96496,5173357,53.58
MI,b,1960,20,0.00113,0.00113,0.5,96439,109,96384,5076862,52.64
MI,b,1960,21,0.00110,0.00110,0.5,96330,106,96277,4980477,51.70
MI,b,1960,22,0.00133,0.00133,0.5,96224,128,96160,4884201,50.76
MI,b,1960,23,0.00104,0.00104,0.5,96096,100,96045,4788041,49.83
MI,b,1960,24,0.00121,0.00121,0.5,95995,116,95937,4691996,48.88
MI,b,1960,25,0.00108,0.00107,0.5,95879,103,95828,4596058,47.94
MI,b,1960,26,0.00107,0.00107,0.5,95776,103,95725,4500230,46.99
MI,b,1960,27,0.00105,0.00105,0.5,95674,100,95623,4404505,46.04
MI,b,1960,28,0.00131,0.00131,0.5,95573,125,95511,4308882,45.08
MI,b,1960,29,0.00105,0.00105,0.5,95448,100,95398,4213371,44.14
MI,b,1960,30,0.00129,0.00129,0.5,95348,123,95286,4117973,43.19
MI,b,1960,31,0.00124,0.00124,0.5,95224,118,95165,4022687,42.24
MI,b,1960,32,0.00138,0.00138,0.5,95106,131,95040,3927522,41.30
MI,b,1960,33,0.00159,0.00159,0.5,94975,151,94899,3832482,40.35
MI,b,1960,34,0.00159,0.00159,0.5,94824,151,94748,3737583,39.42
MI,b,1960,35,0.00174,0.00173,0.5,94673,164,94590,3642835,38.48
MI,b,1960,36,0.00164,0.00164,0.5,94508,155,94431,3548244,37.54
MI,b,1960,37,0.00199,0.00199,0.5,94354,188,94260,3453813,36.60
MI,b,1960,38,0.00220,0.00220,0.5,94166,207,94062,3359553,35.68
MI,b,1960,39,0.00240,0.00240,0.5,93959,225,93846,3265491,34.75
MI,b,1960,40,0.00274,0.00273,0.5,93733,256,93605,3171645,33.84
MI,b,1960,41,0.00324,0.00324,0.5,93477,303,93326,3078040,32.93
MI,b,1960,42,0.00348,0.00348,0.5,93174,324,93012,2984714,32.03
MI,b,1960,43,0.00357,0.00357,0.5,92850,331,92685,2891702,31.14
MI,b,1960,44,0.00409,0.00409,0.5,92519,378,92330,2799017,30.25
MI,b,1960,45,0.00472,0.00471,0.5,92141,434,91924,2706686,29.38
MI,b,1960,46,0.00483,0.00482,0.5,91707,442,91486,2614762,28.51
MI,b,1960,47,0.00594,0.00592,0.5,91265,540,90995,2523276,27.65
MI,b,1960,48,0.00599,0.00597,0.5,90725,542,90454,2432281,26.81
MI,b,1960,49,0.00681,0.00679,0.5,90183,612,89877,2341828,25.97
MI,b,1960,50,0.00756,0.00753,0.5,89571,675,89233,2251951,25.14
MI,b,1960,51,0.00855,0.00851,0.5,88896,756,88518,2162718,24.33
MI,b,1960,52,0.00936,0.00932,0.5,88139,822,87729,2074200,23.53
MI,b,1960,53,0.00968,0.00963,0.5,87318,841,86897,1986471,22.75
MI,b,1960,54,0.01077,0.01071,0.5,86477,926,86014,1899574,21.97
MI,b,1960,55,0.01125,0.01119,0.5,85551,957,85072,1813560,21.20
MI,b,1960,56,0.01290,0.01281,0.5,84593,1084,84051,1728488,20.43
MI,b,1960,57,0.01388,0.01378,0.5,83510,1151,82934,1644437,19.69
MI,b,1960,58,0.01547,0.01535,0.5,82358,1264,81726,1561503,18.96
MI,b,1960,59,0.01598,0.01586,0.5,81094,1286,80451,1479776,18.25
MI,b,1960,60,0.01843,0.01826,0.5,79808,1458,79080,1399325,17.53
MI,b,1960,61,0.01806,0.01790,0.5,78351,1402,77650,1320245,16.85
MI,b,1960,62,0.02181,0.02158,0.5,76949,1660,76119,1242596,16.15
MI,b,1960,63,0.02253,0.02228,0.5,75288,1677,74450,1166477,15.49
MI,b,1960,64,0.02403,0.02374,0.5,73611,1748,72737,1092027,14.84
MI,b,1960,65,0.02835,0.02796,0.5,71863,2009,70859,1019290,14.18
MI,b,1960,66,0.02703,0.02667,0.5,69854,1863,68923,948431,13.58
MI,b,1960,67,0.03280,0.03227,0.5,67991,2194,66894,879509,12.94
MI,b,1960,68,0.03643,0.03578,0.5,65797,2354,64620,812615,12.35
MI,b,1960,69,0.03825,0.03753,0.5,63442,2381,62252,747996,11.79
MI,b,1960,70,0.04129,0.04046,0.5,61061,2471,59826,685744,11.23
MI,b,1960,71,0.04405,0.04310,0.5,58591,2525,57328,625917,10.68
MI,b,1960,72,0.04971,0.04850,0.5,56065,2719,54706,568589,10.14
