PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MS,b,1959,0,0.04167,0.04026,0.16,100000,4026,96631,6782926,67.83
MS,b,1959,1,0.00309,0.00308,0.5,95974,296,95826,6686295,69.67
MS,b,1959,2,0.00154,0.00154,0.5,95678,147,95604,6590469,68.88
MS,b,1959,3,0.00129,0.00129,0.5,95531,123,95469,6494865,67.99
MS,b,1959,4,0.00115,0.00115,0.5,95408,109,95353,6399396,67.07
MS,b,1959,5,0.00089,0.00089,0.5,95298,85,95256,6304043,66.15
MS,b,1959,6,0.00056,0.00056,0.5,95213,53,95187,6208787,65.21
MS,b,1959,7,0.00065,0.00065,0.5,95160,62,95129,6113601,64.25
MS,b,1959,8,0.00062,0.00062,0.5,95098,59,95068,6018472,63.29
MS,b,1959,9,0.00054,0.00054,0.5,95039,52,95013,5923403,62.33
MS,b,1959,10,0.00042,0.00042,0.5,94987,40,94967,5828390,61.36
MS,b,1959,11,0.00058,0.00058,0.5,94948,55,94920,5733423,60.39
MS,b,1959,12,0.00045,0.00045,0.5,94893,43,94871,5638502,59.42
MS,b,1959,13,0.00076,0.00076,0.5,94850,72,94814,5543631,58.45
MS,b,1959,14,0.00080,0.00080,0.5,94778,76,94740,5448817,57.49
MS,b,1959,15,0.00093,0.00093,0.5,94702,88,94658,5354077,56.54
MS,b,1959,16,0.00095,0.00095,0.5,94614,90,94570,5259419,55.59
MS,b,1959,17,0.00123,0.00123,0.5,94525,116,94467,5164849,54.64
MS,b,1959,18,0.00136,0.00136,0.5,94409,128,94345,5070383,53.71
MS,b,1959,19,0.00206,0.00206,0.5,94280,194,94183,4976038,52.78
MS,b,1959,20,0.00210,0.00209,0.5,94087,197,93988,4881855,51.89
MS,b,1959,21,0.00201,0.00201,0.5,93890,188,93795,4787867,50.99
MS,b,1959,22,0.00186,0.00186,0.5,93701,174,93614,4694071,50.10
MS,b,1959,23,0.00223,0.00223,0.5,93527,209,93423,4600457,49.19
MS,b,1959,24,0.00228,0.00228,0.5,93318,213,93212,4507034,48.30
MS,b,1959,25,0.00152,0.00152,0.5,93105,141,93035,4413823,47.41
MS,b,1959,26,0.00226,0.00226,0.5,92964,210,92859,4320788,46.48
MS,b,1959,27,0.00192,0.00192,0.5,92754,178,92665,4227928,45.58
MS,b,1959,28,0.00234,0.00234,0.5,92576,216,92468,4135263,44.67
MS,b,1959,29,0.00209,0.00209,0.5,92360,193,92263,4042795,43.77
MS,b,1959,30,0.00188,0.00188,0.5,92167,173,92080,3950532,42.86
MS,b,1959,31,0.00224,0.00224,0.5,91994,206,91891,3858451,41.94
MS,b,1959,32,0.00226,0.00226,0.5,91788,207,91684,3766561,41.04
MS,b,1959,33,0.00236,0.00235,0.5,91581,216,91473,3674876,40.13
MS,b,1959,34,0.00203,0.00203,0.5,91365,185,91272,3583404,39.22
MS,b,1959,35,0.00292,0.00292,0.5,91179,266,91046,3492132,38.30
MS,b,1959,36,0.00278,0.00278,0.5,90913,252,90787,3401085,37.41
MS,b,1959,37,0.00287,0.00286,0.5,90661,260,90531,3310298,36.51
