PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NC,b,1959,0,0.03394,0.03298,0.14,100000,3298,97171,6861382,68.61
NC,b,1959,1,0.00226,0.00226,0.5,96702,218,96593,6764211,69.95
NC,b,1959,2,0.00127,0.00127,0.5,96484,122,96423,6667618,69.11
NC,b,1959,3,0.00095,0.00094,0.5,96362,91,96316,6571195,68.19
NC,b,1959,4,0.00084,0.00084,0.5,96271,81,96230,6474879,67.26
NC,b,1959,5,0.00071,0.00071,0.5,96190,68,96156,6378649,66.31
NC,b,1959,6,0.00063,0.00063,0.5,96122,60,96092,6282493,65.36
NC,b,1959,7,0.00055,0.00055,0.5,96062,53,96035,6186401,64.40
NC,b,1959,8,0.00049,0.00049,0.5,96009,47,95985,6090366,63.44
NC,b,1959,9,0.00052,0.00052,0.5,95962,50,95936,5994380,62.47
NC,b,1959,10,0.00039,0.00039,0.5,95911,38,95893,5898444,61.50
NC,b,1959,11,0.00050,0.00050,0.5,95874,48,95850,5802551,60.52
NC,b,1959,12,0.00039,0.00039,0.5,95826,37,95807,5706701,59.55
NC,b,1959,13,0.00037,0.00037,0.5,95789,35,95771,5610894,58.58
NC,b,1959,14,0.00043,0.00043,0.5,95754,41,95733,5515123,57.60
NC,b,1959,15,0.00074,0.00074,0.5,95713,71,95677,5419389,56.62
NC,b,1959,16,0.00113,0.00113,0.5,95642,108,95587,5323712,55.66
NC,b,1959,17,0.00100,0.00100,0.5,95533,95,95486,5228125,54.73
NC,b,1959,18,0.00116,0.00116,0.5,95438,110,95383,5132639,53.78
NC,b,1959,19,0.00119,0.00119,0.5,95328,113,95271,5037256,52.84
NC,b,1959,20,0.00141,0.00141,0.5,95214,134,95147,4941986,51.90
NC,b,1959,21,0.00179,0.00179,0.5,95080,170,94995,4846838,50.98
NC,b,1959,22,0.00191,0.00191,0.5,94910,181,94820,4751843,50.07
NC,b,1959,23,0.00151,0.00151,0.5,94729,143,94658,4657023,49.16
NC,b,1959,24,0.00143,0.00142,0.5,94587,135,94519,4562365,48.23
NC,b,1959,25,0.00187,0.00187,0.5,94452,177,94364,4467845,47.30
NC,b,1959,26,0.00182,0.00182,0.5,94275,171,94190,4373482,46.39
NC,b,1959,27,0.00153,0.00153,0.5,94104,144,94032,4279292,45.47
NC,b,1959,28,0.00155,0.00155,0.5,93960,145,93888,4185260,44.54
NC,b,1959,29,0.00149,0.00149,0.5,93815,139,93745,4091372,43.61
NC,b,1959,30,0.00168,0.00168,0.5,93675,158,93597,3997627,42.68
NC,b,1959,31,0.00217,0.00217,0.5,93518,202,93417,3904030,41.75
NC,b,1959,32,0.00229,0.00228,0.5,93315,213,93209,3810614,40.84
NC,b,1959,33,0.00204,0.00204,0.5,93102,190,93008,3717405,39.93
NC,b,1959,34,0.00284,0.00284,0.5,92913,264,92781,3624398,39.01
NC,b,1959,35,0.00236,0.00236,0.5,92649,218,92540,3531617,38.12
NC,b,1959,36,0.00288,0.00287,0.5,92431,265,92298,3439077,37.21
NC,b,1959,37,0.00295,0.00294,0.5,92165,271,92030,3346778,36.31
NC,b,1959,38,0.00291,0.00291,0.5,91894,267,91761,3254749,35.42
NC,b,1959,39,0.00365,0.00364,0.5,91627,334,91460,3162988,34.52
NC,b,1959,40,0.00439,0.00438,0.5,91293,400,91093,3071528,33.64
NC,b,1959,41,0.00387,0.00386,0.5,90893,351,90718,2980435,32.79
NC,b,1959,42,0.00485,0.00484,0.5,90542,438,90323,2889717,31.92
NC,b,1959,43,0.00505,0.00503,0.5,90104,454,89878,2799393,31.07
NC,b,1959,44,0.00564,0.00563,0.5,89651,505,89398,2709516,30.22
NC,b,1959,45,0.00541,0.00540,0.5,89146,481,88906,2620117,29.39
NC,b,1959,46,0.00651,0.00649,0.5,88665,576,88377,2531212,28.55
NC,b,1959,47,0.00652,0.00650,0.5,88089,572,87803,2442835,27.73
NC,b,1959,48,0.00817,0.00814,0.5,87517,712,87161,2355031,26.91
NC,b,1959,49,0.00800,0.00797,0.5,86805,691,86459,2267870,26.13
NC,b,1959,50,0.00882,0.00878,0.5,86113,756,85735,2181412,25.33
NC,b,1959,51,0.00894,0.00890,0.5,85357,760,84977,2095676,24.55
NC,b,1959,52,0.00986,0.00981,0.5,84597,830,84182,2010699,23.77
NC,b,1959,53,0.01048,0.01043,0.5,83767,873,83331,1926517,23.00
NC,b,1959,54,0.01195,0.01188,0.5,82894,985,82401,1843186,22.24
NC,b,1959,55,0.01227,0.01219,0.5,81909,999,81410,1760785,21.50
NC,b,1959,56,0.01332,0.01323,0.5,80910,1070,80375,1679375,20.76
NC,b,1959,57,0.01454,0.01444,0.5,79840,1153,79264,1599000,20.03
NC,b,1959,58,0.01697,0.01683,0.5,78687,1324,78025,1519737,19.31
NC,b,1959,59,0.01821,0.01805,0.5,77363,1396,76665,1441712,18.64
NC,b,1959,60,0.01791,0.01776,0.5,75966,1349,75292,1365047,17.97
NC,b,1959,61,0.01879,0.01861,0.5,74618,1389,73923,1289755,17.28
NC,b,1959,62,0.02164,0.02140,0.5,73229,1567,72445,1215832,16.60
NC,b,1959,63,0.02413,0.02384,0.5,71661,1708,70807,1143386,15.96
NC,b,1959,64,0.02529,0.02498,0.5,69953,1747,69080,1072579,15.33
NC,b,1959,65,0.02687,0.02651,0.5,68206,1808,67302,1003500,14.71
NC,b,1959,66,0.02822,0.02782,0.5,66398,1847,65474,936198,14.10
NC,b,1959,67,0.03282,0.03229,0.5,64550,2085,63508,870724,13.49
NC,b,1959,68,0.03484,0.03425,0.5,62466,2139,61396,807216,12.92
NC,b,1959,69,0.03584,0.03521,0.5,60326,2124,59264,745820,12.36
NC,b,1959,70,0.04030,0.03950,0.5,58203,2299,57053,686555,11.80
NC,b,1959,71,0.04003,0.03924,0.5,55903,2194,54806,629502,11.26
NC,b,1959,72,0.04592,0.04489,0.5,53710,2411,52504,574696,10.70
NC,b,1959,73,0.05106,0.04979,0.5,51298,2554,50021,522192,10.18
NC,b,1959,74,0.05499,0.05352,0.5,48744,2609,47440,472171,9.69
NC,b,1959,75,0.06247,0.06057,0.5,46136,2795,44738,424730,9.21
NC,b,1959,76,0.06127,0.05945,0.5,43341,2576,42053,379992,8.77
NC,b,1959,77,0.06428,0.06228,0.5,40765,2539,39495,337939,8.29
NC,b,1959,78,0.07331,0.07072,0.5,38226,2703,36874,298444,7.81
NC,b,1959,79,0.08334,0.08000,0.5,35523,2842,34102,261570,7.36
NC,b,1959,80,0.09451,0.09024,0.5,32681,2949,31206,227468,6.96
NC,b,1959,81,0.08682,0.08321,0.5,29731,2474,28494,196262,6.60
NC,b,1959,82,0.10743,0.10195,0.5,27257,2779,25868,167768,6.15
NC,b,1959,83,0.11791,0.11135,0.5,24479,2726,23116,141900,5.80
NC,b,1959,84,0.12529,0.11791,0.5,21753,2565,20470,118784,5.46
NC,b,1959,85,0.14397,0.13430,0.5,19188,2577,17900,98314,5.12
NC,b,1959,86,0.15634,0.14501,0.5,16611,2409,15407,80414,4.84
NC,b,1959,87,0.18522,0.16952,0.5,14202,2408,12998,65008,4.58
