PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ND,b,1959,0,0.02463,0.02411,0.12,100000,2411,97870,7165238,71.65
ND,b,1959,1,0.00169,0.00169,0.5,97589,165,97507,7067368,72.42
ND,b,1959,2,0.00084,0.00084,0.5,97424,82,97383,6969861,71.54
ND,b,1959,3,0.00064,0.00064,0.5,97343,62,97311,6872478,70.60
ND,b,1959,4,0.00102,0.00102,0.5,97280,99,97231,6775167,69.65
ND,b,1959,5,0.00046,0.00046,0.5,97181,44,97159,6677936,68.72
ND,b,1959,6,0.00027,0.00027,0.5,97137,26,97124,6580777,67.75
ND,b,1959,7,0.00034,0.00034,0.5,97111,33,97095,6483652,66.77
ND,b,1959,8,0.00058,0.00058,0.5,97078,57,97049,6386558,65.79
ND,b,1959,9,0.00052,0.00052,0.5,97021,51,96996,6289508,64.83
ND,b,1959,10,0.00037,0.00037,0.5,96970,36,96952,6192513,63.86
ND,b,1959,11,0.00030,0.00030,0.5,96934,29,96919,6095560,62.88
ND,b,1959,12,0.00039,0.00039,0.5,96905,38,96886,5998641,61.90
ND,b,1959,13,0.00084,0.00083,0.5,96867,81,96827,5901755,60.93
ND,b,1959,14,0.00052,0.00052,0.5,96786,50,96761,5804928,59.98
ND,b,1959,15,0.00086,0.00086,0.5,96736,83,96695,5708167,59.01
ND,b,1959,16,0.00107,0.00107,0.5,96653,104,96601,5611472,58.06
ND,b,1959,17,0.00092,0.00092,0.5,96549,89,96505,5514871,57.12
ND,b,1959,18,0.00047,0.00047,0.5,96460,45,96438,5418366,56.17
ND,b,1959,19,0.00149,0.00149,0.5,96415,143,96344,5321928,55.20
ND,b,1959,20,0.00115,0.00114,0.5,96272,110,96217,5225584,54.28
ND,b,1959,21,0.00105,0.00105,0.5,96162,101,96112,5129367,53.34
ND,b,1959,22,0.00135,0.00135,0.5,96061,130,95997,5033256,52.40
ND,b,1959,23,0.00108,0.00108,0.5,95932,103,95880,4937259,51.47
ND,b,1959,24,0.00095,0.00095,0.5,95828,91,95783,4841379,50.52
ND,b,1959,25,0.00154,0.00154,0.5,95737,148,95664,4745596,49.57
ND,b,1959,26,0.00126,0.00126,0.5,95590,120,95530,4649933,48.64
ND,b,1959,27,0.00097,0.00097,0.5,95470,92,95424,4554403,47.71
ND,b,1959,28,0.00111,0.00111,0.5,95378,106,95325,4458979,46.75
ND,b,1959,29,0.00095,0.00095,0.5,95272,90,95227,4363654,45.80
ND,b,1959,30,0.00093,0.00093,0.5,95182,88,95138,4268428,44.85
ND,b,1959,31,0.00066,0.00066,0.5,95093,63,95062,4173290,43.89
ND,b,1959,32,0.00121,0.00121,0.5,95030,115,94973,4078228,42.92
ND,b,1959,33,0.00191,0.00191,0.5,94916,181,94825,3983255,41.97
ND,b,1959,34,0.00068,0.00068,0.5,94734,65,94702,3888430,41.05
ND,b,1959,35,0.00164,0.00164,0.5,94670,155,94592,3793728,40.07
ND,b,1959,36,0.00207,0.00207,0.5,94515,195,94417,3699136,39.14
ND,b,1959,37,0.00233,0.00232,0.5,94319,219,94210,3604719,38.22
ND,b,1959,38,0.00276,0.00276,0.5,94100,260,93970,3510509,37.31
ND,b,1959,39,0.00225,0.00224,0.5,93841,211,93735,3416539,36.41
ND,b,1959,40,0.00137,0.00137,0.5,93630,128,93566,3322804,35.49
ND,b,1959,41,0.00294,0.00294,0.5,93502,275,93364,3229238,34.54
ND,b,1959,42,0.00230,0.00229,0.5,93227,214,93120,3135873,33.64
ND,b,1959,43,0.00316,0.00315,0.5,93013,293,92867,3042753,32.71
ND,b,1959,44,0.00317,0.00316,0.5,92720,293,92573,2949887,31.81
ND,b,1959,45,0.00438,0.00437,0.5,92427,404,92225,2857313,30.91
ND,b,1959,46,0.00353,0.00352,0.5,92023,324,91861,2765088,30.05
ND,b,1959,47,0.00512,0.00511,0.5,91699,469,91465,2673227,29.15
ND,b,1959,48,0.00399,0.00399,0.5,91231,364,91049,2581762,28.30
ND,b,1959,49,0.00574,0.00572,0.5,90867,520,90607,2490713,27.41
ND,b,1959,50,0.00611,0.00609,0.5,90347,551,90072,2400106,26.57
ND,b,1959,51,0.00512,0.00510,0.5,89796,458,89567,2310035,25.73
ND,b,1959,52,0.00717,0.00714,0.5,89338,638,89019,2220468,24.85
ND,b,1959,53,0.01039,0.01033,0.5,88700,917,88242,2131449,24.03
ND,b,1959,54,0.00983,0.00978,0.5,87783,859,87354,2043207,23.28
ND,b,1959,55,0.00767,0.00765,0.5,86925,665,86592,1955853,22.50
ND,b,1959,56,0.00989,0.00984,0.5,86260,849,85836,1869261,21.67
ND,b,1959,57,0.00886,0.00882,0.5,85411,753,85034,1783425,20.88
ND,b,1959,58,0.01270,0.01262,0.5,84658,1068,84123,1698391,20.06
ND,b,1959,59,0.01399,0.01389,0.5,83589,1161,83009,1614267,19.31
