PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NH,b,1959,0,0.02181,0.02140,0.11,100000,2140,98093,7045722,70.46
NH,b,1959,1,0.00195,0.00195,0.5,97860,191,97765,6947628,71.00
NH,b,1959,2,0.00099,0.00099,0.5,97670,97,97621,6849863,70.13
NH,b,1959,3,0.00055,0.00055,0.5,97573,54,97546,6752242,69.20
NH,b,1959,4,0.00105,0.00105,0.5,97519,102,97468,6654696,68.24
NH,b,1959,5,0.00066,0.00066,0.5,97417,64,97385,6557228,67.31
NH,b,1959,6,0.00050,0.00050,0.5,97353,48,97329,6459843,66.35
NH,b,1959,7,0.00050,0.00050,0.5,97305,49,97280,6362514,65.39
NH,b,1959,8,0.00026,0.00026,0.5,97256,25,97243,6265234,64.42
NH,b,1959,9,0.00035,0.00035,0.5,97231,34,97213,6167991,63.44
NH,b,1959,10,0.00060,0.00060,0.5,97196,58,97167,6070777,62.46
NH,b,1959,11,0.00033,0.00033,0.5,97138,32,97122,5973610,61.50
NH,b,1959,12,0.00076,0.00076,0.5,97107,74,97070,5876487,60.52
NH,b,1959,13,0.00030,0.00030,0.5,97032,29,97018,5779418,59.56
NH,b,1959,14,0.00123,0.00123,0.5,97003,119,96944,5682400,58.58
NH,b,1959,15,0.00043,0.00043,0.5,96884,41,96864,5585456,57.65
NH,b,1959,16,0.00085,0.00085,0.5,96843,82,96802,5488592,56.68
NH,b,1959,17,0.00114,0.00114,0.5,96761,110,96706,5391791,55.72
NH,b,1959,18,0.00125,0.00125,0.5,96650,121,96590,5295085,54.79
NH,b,1959,19,0.00169,0.00169,0.5,96530,163,96448,5198495,53.85
NH,b,1959,20,0.00173,0.00173,0.5,96367,167,96283,5102047,52.94
NH,b,1959,21,0.00099,0.00099,0.5,96200,95,96152,5005764,52.04
NH,b,1959,22,0.00248,0.00248,0.5,96105,238,95986,4909611,51.09
NH,b,1959,23,0.00094,0.00094,0.5,95867,90,95822,4813626,50.21
NH,b,1959,24,0.00089,0.00089,0.5,95777,86,95734,4717804,49.26
NH,b,1959,25,0.00089,0.00089,0.5,95691,85,95649,4622070,48.30
NH,b,1959,26,0.00059,0.00059,0.5,95606,56,95578,4526422,47.34
NH,b,1959,27,0.00072,0.00072,0.5,95550,69,95516,4430843,46.37
NH,b,1959,28,0.00099,0.00099,0.5,95481,95,95434,4335328,45.40
NH,b,1959,29,0.00165,0.00165,0.5,95387,158,95308,4239894,44.45
NH,b,1959,30,0.00148,0.00148,0.5,95229,141,95158,4144586,43.52
NH,b,1959,31,0.00067,0.00067,0.5,95088,63,95056,4049428,42.59
NH,b,1959,32,0.00120,0.00120,0.5,95024,114,94967,3954372,41.61
NH,b,1959,33,0.00128,0.00128,0.5,94910,121,94849,3859405,40.66
NH,b,1959,34,0.00098,0.00098,0.5,94789,92,94743,3764555,39.72
NH,b,1959,35,0.00123,0.00123,0.5,94696,117,94638,3669813,38.75
NH,b,1959,36,0.00279,0.00278,0.5,94580,263,94448,3575175,37.80
NH,b,1959,37,0.00114,0.00114,0.5,94316,107,94263,3480727,36.90
NH,b,1959,38,0.00162,0.00162,0.5,94209,152,94133,3386464,35.95
NH,b,1959,39,0.00204,0.00203,0.5,94057,191,93961,3292331,35.00
NH,b,1959,40,0.00154,0.00153,0.5,93866,144,93794,3198370,34.07
NH,b,1959,41,0.00298,0.00297,0.5,93722,278,93582,3104576,33.13
NH,b,1959,42,0.00224,0.00224,0.5,93443,209,93339,3010994,32.22
NH,b,1959,43,0.00340,0.00339,0.5,93234,316,93076,2917655,31.29
NH,b,1959,44,0.00435,0.00434,0.5,92918,403,92716,2824579,30.40
NH,b,1959,45,0.00353,0.00352,0.5,92514,326,92352,2731863,29.53
NH,b,1959,46,0.00559,0.00557,0.5,92189,514,91932,2639512,28.63
NH,b,1959,47,0.00479,0.00478,0.5,91675,438,91456,2547580,27.79
NH,b,1959,48,0.00576,0.00574,0.5,91237,524,90975,2456124,26.92
NH,b,1959,49,0.00666,0.00663,0.5,90713,602,90412,2365148,26.07
