PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NJ,b,1959,0,0.02464,0.02411,0.12,100000,2411,97870,6993585,69.94
NJ,b,1959,1,0.00130,0.00130,0.5,97589,127,97525,6895714,70.66
NJ,b,1959,2,0.00106,0.00106,0.5,97462,104,97410,6798189,69.75
NJ,b,1959,3,0.00073,0.00073,0.5,97358,71,97323,6700779,68.83
NJ,b,1959,4,0.00077,0.00077,0.5,97287,75,97250,6603456,67.88
NJ,b,1959,5,0.00050,0.00050,0.5,97212,49,97188,6506206,66.93
NJ,b,1959,6,0.00059,0.00059,0.5,97163,57,97135,6409018,65.96
NJ,b,1959,7,0.00039,0.00039,0.5,97106,38,97088,6311883,65.00
NJ,b,1959,8,0.00040,0.00040,0.5,97069,39,97049,6214796,64.02
NJ,b,1959,9,0.00035,0.00035,0.5,97030,34,97013,6117747,63.05
NJ,b,1959,10,0.00034,0.00034,0.5,96996,33,96979,6020734,62.07
NJ,b,1959,11,0.00037,0.00037,0.5,96963,36,96945,5923755,61.09
NJ,b,1959,12,0.00042,0.00042,0.5,96927,41,96906,5826810,60.12
NJ,b,1959,13,0.00040,0.00040,0.5,96886,39,96867,5729903,59.14
NJ,b,1959,14,0.00035,0.00035,0.5,96848,34,96830,5633037,58.16
NJ,b,1959,15,0.00039,0.00039,0.5,96813,38,96794,5536206,57.18
NJ,b,1959,16,0.00068,0.00068,0.5,96775,66,96742,5439412,56.21
NJ,b,1959,17,0.00091,0.00091,0.5,96710,88,96666,5342669,55.24
NJ,b,1959,18,0.00092,0.00092,0.5,96622,88,96578,5246004,54.29
NJ,b,1959,19,0.00073,0.00073,0.5,96533,71,96498,5149426,53.34
NJ,b,1959,20,0.00100,0.00100,0.5,96463,96,96415,5052928,52.38
NJ,b,1959,21,0.00107,0.00107,0.5,96366,103,96315,4956513,51.43
NJ,b,1959,22,0.00073,0.00073,0.5,96264,71,96228,4860198,50.49
NJ,b,1959,23,0.00103,0.00102,0.5,96193,99,96144,4763970,49.53
NJ,b,1959,24,0.00090,0.00090,0.5,96094,86,96051,4667827,48.58
NJ,b,1959,25,0.00080,0.00080,0.5,96008,77,95970,4571775,47.62
NJ,b,1959,26,0.00072,0.00072,0.5,95931,69,95897,4475806,46.66
NJ,b,1959,27,0.00071,0.00071,0.5,95862,68,95828,4379909,45.69
NJ,b,1959,28,0.00098,0.00098,0.5,95794,93,95747,4284081,44.72
NJ,b,1959,29,0.00114,0.00114,0.5,95701,109,95646,4188333,43.76
NJ,b,1959,30,0.00122,0.00121,0.5,95591,116,95533,4092687,42.81
NJ,b,1959,31,0.00129,0.00128,0.5,95475,123,95414,3997154,41.87
NJ,b,1959,32,0.00141,0.00141,0.5,95353,135,95285,3901740,40.92
NJ,b,1959,33,0.00143,0.00143,0.5,95218,136,95150,3806455,39.98
NJ,b,1959,34,0.00175,0.00175,0.5,95082,167,94998,3711305,39.03
NJ,b,1959,35,0.00159,0.00159,0.5,94915,151,94840,3616306,38.10
NJ,b,1959,36,0.00169,0.00169,0.5,94764,160,94684,3521467,37.16
NJ,b,1959,37,0.00201,0.00201,0.5,94604,190,94509,3426782,36.22
NJ,b,1959,38,0.00216,0.00216,0.5,94414,204,94312,3332273,35.29
NJ,b,1959,39,0.00247,0.00246,0.5,94210,232,94094,3237961,34.37
NJ,b,1959,40,0.00264,0.00263,0.5,93978,247,93854,3143867,33.45
NJ,b,1959,41,0.00283,0.00283,0.5,93731,265,93598,3050013,32.54
NJ,b,1959,42,0.00328,0.00327,0.5,93466,306,93313,2956414,31.63
NJ,b,1959,43,0.00379,0.00378,0.5,93160,352,92984,2863102,30.73
NJ,b,1959,44,0.00398,0.00397,0.5,92808,368,92623,2770118,29.85
