PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NV,b,1959,0,0.03304,0.03212,0.14,100000,3212,97240,6788095,67.88
NV,b,1959,1,0.00195,0.00195,0.5,96788,189,96693,6690855,69.13
NV,b,1959,2,0.00170,0.00169,0.5,96599,164,96517,6594161,68.26
NV,b,1959,3,0.00048,0.00048,0.5,96435,46,96412,6497644,67.38
NV,b,1959,4,0.00049,0.00049,0.5,96389,47,96365,6401232,66.41
NV,b,1959,5,0.00016,0.00016,0.5,96342,16,96334,6304867,65.44
NV,b,1959,6,0.00034,0.00034,0.5,96326,33,96310,6208533,64.45
NV,b,1959,7,0.00036,0.00036,0.5,96293,35,96276,6112223,63.48
NV,b,1959,8,0.00057,0.00057,0.5,96259,55,96231,6015947,62.50
NV,b,1959,9,0.00019,0.00019,0.5,96204,19,96194,5919716,61.53
NV,b,1959,10,0.00055,0.00055,0.5,96185,53,96159,5823521,60.54
NV,b,1959,11,0.00018,0.00018,0.5,96132,18,96123,5727363,59.58
NV,b,1959,12,0.00039,0.00039,0.5,96114,37,96096,5631240,58.59
NV,b,1959,13,0.00134,0.00134,0.5,96077,129,96012,5535144,57.61
NV,b,1959,14,0.00071,0.00071,0.5,95948,68,95914,5439132,56.69
NV,b,1959,15,0.00164,0.00164,0.5,95879,157,95801,5343218,55.73
NV,b,1959,16,0.00197,0.00197,0.5,95722,189,95628,5247417,54.82
NV,b,1959,17,0.00055,0.00055,0.5,95534,53,95508,5151789,53.93
NV,b,1959,18,0.00123,0.00122,0.5,95481,117,95423,5056282,52.96
NV,b,1959,19,0.00059,0.00059,0.5,95364,57,95336,4960859,52.02
NV,b,1959,20,0.00300,0.00299,0.5,95308,285,95165,4865523,51.05
NV,b,1959,21,0.00159,0.00158,0.5,95022,151,94947,4770358,50.20
NV,b,1959,22,0.00236,0.00236,0.5,94872,224,94760,4675411,49.28
NV,b,1959,23,0.00106,0.00106,0.5,94648,101,94597,4580651,48.40
NV,b,1959,24,0.00292,0.00292,0.5,94547,276,94409,4486054,47.45
NV,b,1959,25,0.00131,0.00131,0.5,94271,123,94209,4391645,46.59
NV,b,1959,26,0.00207,0.00206,0.5,94148,194,94050,4297435,45.65
NV,b,1959,27,0.00154,0.00154,0.5,93953,145,93881,4203385,44.74
NV,b,1959,28,0.00250,0.00250,0.5,93808,235,93691,4109504,43.81
NV,b,1959,29,0.00197,0.00197,0.5,93574,184,93482,4015814,42.92
NV,b,1959,30,0.00172,0.00171,0.5,93390,160,93310,3922332,42.00
NV,b,1959,31,0.00263,0.00263,0.5,93230,245,93107,3829022,41.07
NV,b,1959,32,0.00168,0.00168,0.5,92984,156,92906,3735915,40.18
NV,b,1959,33,0.00119,0.00119,0.5,92828,110,92773,3643009,39.24
NV,b,1959,34,0.00251,0.00251,0.5,92718,233,92602,3550236,38.29
NV,b,1959,35,0.00247,0.00247,0.5,92485,228,92371,3457634,37.39
NV,b,1959,36,0.00202,0.00201,0.5,92257,186,92164,3365263,36.48
NV,b,1959,37,0.00360,0.00359,0.5,92071,331,91906,3273099,35.55
NV,b,1959,38,0.00249,0.00248,0.5,91740,228,91626,3181193,34.68
NV,b,1959,39,0.00384,0.00383,0.5,91513,351,91337,3089567,33.76
NV,b,1959,40,0.00480,0.00479,0.5,91162,437,90943,2998230,32.89
NV,b,1959,41,0.00468,0.00467,0.5,90725,424,90513,2907287,32.05
NV,b,1959,42,0.00656,0.00654,0.5,90301,591,90005,2816774,31.19
NV,b,1959,43,0.00495,0.00494,0.5,89710,443,89488,2726768,30.40
NV,b,1959,44,0.00566,0.00565,0.5,89267,504,89015,2637280,29.54
NV,b,1959,45,0.00753,0.00750,0.5,88763,666,88430,2548265,28.71
NV,b,1959,46,0.00542,0.00540,0.5,88097,476,87859,2459835,27.92
NV,b,1959,47,0.00730,0.00727,0.5,87621,637,87303,2371976,27.07
NV,b,1959,48,0.00668,0.00666,0.5,86984,579,86695,2284673,26.27
NV,b,1959,49,0.01132,0.01125,0.5,86405,972,85919,2197979,25.44
NV,b,1959,50,0.00778,0.00775,0.5,85432,662,85101,2112060,24.72
NV,b,1959,51,0.01063,0.01058,0.5,84770,897,84322,2026958,23.91
NV,b,1959,52,0.01032,0.01027,0.5,83874,861,83443,1942637,23.16
NV,b,1959,53,0.01294,0.01285,0.5,83012,1067,82479,1859194,22.40
NV,b,1959,54,0.01343,0.01334,0.5,81945,1093,81399,1776715,21.68
NV,b,1959,55,0.01169,0.01162,0.5,80852,940,80382,1695316,20.97
NV,b,1959,56,0.01542,0.01530,0.5,79912,1223,79301,1614934,20.21
NV,b,1959,57,0.01556,0.01544,0.5,78689,1215,78082,1535634,19.52
NV,b,1959,58,0.02052,0.02031,0.5,77474,1574,76687,1457552,18.81
NV,b,1959,59,0.01922,0.01903,0.5,75901,1445,75178,1380865,18.19
NV,b,1959,60,0.01795,0.01779,0.5,74456,1324,73794,1305686,17.54
NV,b,1959,61,0.02208,0.02184,0.5,73131,1597,72333,1231893,16.84
NV,b,1959,62,0.01499,0.01488,0.5,71534,1065,71002,1159560,16.21
NV,b,1959,63,0.02621,0.02587,0.5,70469,1823,69558,1088559,15.45
