PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
NY,b,1959,0,0.02560,0.02503,0.12,100000,2503,97796,6954890,69.55
NY,b,1959,1,0.00142,0.00142,0.5,97497,138,97428,6857094,70.33
NY,b,1959,2,0.00088,0.00088,0.5,97359,86,97316,6759666,69.43
NY,b,1959,3,0.00073,0.00073,0.5,97273,71,97237,6662350,68.49
NY,b,1959,4,0.00065,0.00065,0.5,97202,63,97170,6565113,67.54
NY,b,1959,5,0.00067,0.00067,0.5,97139,65,97106,6467943,66.58
NY,b,1959,6,0.00049,0.00049,0.5,97073,47,97050,6370837,65.63
NY,b,1959,7,0.00054,0.00054,0.5,97026,53,97000,6273787,64.66
NY,b,1959,8,0.00040,0.00040,0.5,96973,39,96954,6176787,63.70
NY,b,1959,9,0.00052,0.00052,0.5,96934,51,96909,6079834,62.72
NY,b,1959,10,0.00036,0.00036,0.5,96883,35,96866,5982925,61.75
NY,b,1959,11,0.00044,0.00044,0.5,96849,43,96828,5886059,60.78
NY,b,1959,12,0.00048,0.00048,0.5,96806,46,96783,5789231,59.80
NY,b,1959,13,0.00032,0.00032,0.5,96760,31,96744,5692448,58.83
NY,b,1959,14,0.00045,0.00045,0.5,96729,44,96707,5595703,57.85
NY,b,1959,15,0.00052,0.00052,0.5,96685,50,96660,5498996,56.88
NY,b,1959,16,0.00066,0.00066,0.5,96635,64,96603,5402336,55.90
NY,b,1959,17,0.00083,0.00083,0.5,96571,80,96531,5305734,54.94
NY,b,1959,18,0.00101,0.00101,0.5,96490,97,96442,5209203,53.99
NY,b,1959,19,0.00106,0.00106,0.5,96393,102,96342,5112761,53.04
NY,b,1959,20,0.00101,0.00101,0.5,96291,97,96243,5016419,52.10
NY,b,1959,21,0.00098,0.00097,0.5,96194,94,96147,4920176,51.15
NY,b,1959,22,0.00110,0.00110,0.5,96100,106,96047,4824029,50.20
NY,b,1959,23,0.00101,0.00101,0.5,95994,97,95946,4727982,49.25
NY,b,1959,24,0.00116,0.00116,0.5,95897,111,95842,4632036,48.30
NY,b,1959,25,0.00107,0.00106,0.5,95786,102,95735,4536194,47.36
NY,b,1959,26,0.00115,0.00115,0.5,95684,110,95629,4440459,46.41
NY,b,1959,27,0.00124,0.00124,0.5,95574,118,95515,4344830,45.46
NY,b,1959,28,0.00109,0.00109,0.5,95456,104,95404,4249315,44.52
NY,b,1959,29,0.00113,0.00113,0.5,95352,108,95298,4153911,43.56
NY,b,1959,30,0.00158,0.00158,0.5,95244,151,95169,4058613,42.61
NY,b,1959,31,0.00141,0.00141,0.5,95093,134,95026,3963444,41.68
NY,b,1959,32,0.00153,0.00153,0.5,94959,146,94886,3868417,40.74
NY,b,1959,33,0.00169,0.00169,0.5,94814,160,94734,3773531,39.80
NY,b,1959,34,0.00174,0.00173,0.5,94654,164,94572,3678797,38.87
NY,b,1959,35,0.00180,0.00180,0.5,94490,170,94405,3584225,37.93
NY,b,1959,36,0.00200,0.00199,0.5,94320,188,94226,3489821,37.00
NY,b,1959,37,0.00217,0.00217,0.5,94132,204,94030,3395595,36.07
NY,b,1959,38,0.00265,0.00265,0.5,93928,249,93804,3301565,35.15
NY,b,1959,39,0.00252,0.00252,0.5,93679,236,93561,3207762,34.24
NY,b,1959,40,0.00303,0.00302,0.5,93443,283,93302,3114200,33.33
NY,b,1959,41,0.00301,0.00300,0.5,93161,280,93021,3020898,32.43
NY,b,1959,42,0.00358,0.00358,0.5,92881,332,92715,2927877,31.52
NY,b,1959,43,0.00399,0.00398,0.5,92549,368,92364,2835163,30.63
NY,b,1959,44,0.00448,0.00447,0.5,92180,412,91974,2742798,29.75
NY,b,1959,45,0.00512,0.00511,0.5,91768,469,91534,2650824,28.89
NY,b,1959,46,0.00519,0.00518,0.5,91299,473,91063,2559290,28.03
NY,b,1959,47,0.00606,0.00604,0.5,90827,549,90552,2468227,27.18
NY,b,1959,48,0.00672,0.00669,0.5,90278,604,89976,2377675,26.34
NY,b,1959,49,0.00696,0.00694,0.5,89674,622,89363,2287699,25.51
NY,b,1959,50,0.00817,0.00814,0.5,89052,725,88689,2198336,24.69
NY,b,1959,51,0.00865,0.00862,0.5,88327,761,87946,2109647,23.88
NY,b,1959,52,0.00940,0.00935,0.5,87566,819,87156,2021701,23.09
NY,b,1959,53,0.01024,0.01018,0.5,86747,883,86305,1934544,22.30
NY,b,1959,54,0.01124,0.01117,0.5,85863,959,85384,1848239,21.53
NY,b,1959,55,0.01237,0.01230,0.5,84904,1044,84382,1762855,20.76
NY,b,1959,56,0.01366,0.01357,0.5,83860,1138,83291,1678474,20.02
NY,b,1959,57,0.01311,0.01302,0.5,82722,1077,82184,1595183,19.28
NY,b,1959,58,0.01575,0.01562,0.5,81645,1276,81007,1512999,18.53
NY,b,1959,59,0.01625,0.01612,0.5,80369,1296,79721,1431992,17.82
NY,b,1959,60,0.01912,0.01894,0.5,79074,1498,78325,1352270,17.10
NY,b,1959,61,0.01944,0.01925,0.5,77576,1493,76829,1273946,16.42
NY,b,1959,62,0.02332,0.02305,0.5,76083,1754,75206,1197117,15.73
NY,b,1959,63,0.02467,0.02437,0.5,74328,1812,73423,1121911,15.09
NY,b,1959,64,0.02478,0.02448,0.5,72517,1775,71629,1048488,14.46
NY,b,1959,65,0.03081,0.03034,0.5,70742,2146,69668,976859,13.81
NY,b,1959,66,0.03046,0.03000,0.5,68595,2058,67566,907191,13.23
NY,b,1959,67,0.03423,0.03365,0.5,66537,2239,65418,839624,12.62
NY,b,1959,68,0.03690,0.03624,0.5,64298,2330,63133,774207,12.04
NY,b,1959,69,0.03825,0.03753,0.5,61968,2326,60806,711073,11.47
NY,b,1959,70,0.04706,0.04598,0.5,59643,2742,58272,650268,10.90
NY,b,1959,71,0.04503,0.04404,0.5,56901,2506,55648,591996,10.40
NY,b,1959,72,0.05234,0.05101,0.5,54395,2775,53008,536348,9.86
NY,b,1959,73,0.05548,0.05398,0.5,51620,2787,50227,483341,9.36
NY,b,1959,74,0.05941,0.05769,0.5,48834,2817,47425,433114,8.87
NY,b,1959,75,0.07102,0.06859,0.5,46016,3156,44438,385689,8.38
NY,b,1959,76,0.07437,0.07170,0.5,42860,3073,41324,341251,7.96
NY,b,1959,77,0.07828,0.07533,0.5,39787,2997,38288,299927,7.54
NY,b,1959,78,0.08608,0.08253,0.5,36790,3036,35272,261639,7.11
NY,b,1959,79,0.09669,0.09223,0.5,33753,3113,32197,226368,6.71
NY,b,1959,80,0.11200,0.10606,0.5,30640,3250,29016,194171,6.34
NY,b,1959,81,0.10446,0.09927,0.5,27391,2719,26031,165155,6.03
NY,b,1959,82,0.11851,0.11188,0.5,24671,2760,23291,139124,5.64
NY,b,1959,83,0.13760,0.12874,0.5,21911,2821,20501,115833,5.29
NY,b,1959,84,0.14737,0.13725,0.5,19090,2620,17780,95332,4.99
NY,b,1959,85,0.16340,0.15106,0.5,16470,2488,15226,77552,4.71
NY,b,1959,86,0.17123,0.15772,0.5,13982,2205,12879,62326,4.46
NY,b,1959,87,0.18513,0.16944,0.5,11777,1995,10779,49446,4.20
NY,b,1959,88,0.20076,0.18244,0.5,9781,1785,8889,38667,3.95
NY,b,1959,89,0.21260,0.19217,0.5,7997,1537,7228,29778,3.72
NY,b,1959,90,0.24546,0.21863,0.5,6460,1412,5754,22550,3.49
NY,b,1959,91,0.24073,0.21486,0.5,5048,1085,4505,16796,3.33
NY,b,1959,92,0.27170,0.23920,0.5,3963,948,3489,12291,3.10
NY,b,1959,93,0.29240,0.25510,0.5,3015,769,2631,8802,2.92
NY,b,1959,94,0.33930,0.29008,0.5,2246,652,1920,6171,2.75
NY,b,1959,95,0.33195,0.28470,0.5,1594,454,1367,4251,2.67
NY,b,1959,96,0.35396,0.30074,0.5,1141,343,969,2883,2.53
NY,b,1959,97,0.37664,0.31695,0.5,798,253,671,1914,2.40
NY,b,1959,98,0.39990,0.33326,0.5,545,182,454,1243,2.28
NY,b,1959,99,0.42364,0.34959,0.5,363,127,300,789,2.17
NY,b,1959,100,0.44777,0.36586,0.5,236,86,193,490,2.07
NY,b,1959,101,0.47218,0.38200,0.5,150,57,121,297,1.98
NY,b,1959,102,0.49675,0.39792,0.5,93,37,74,175,1.89
NY,b,1959,103,0.52137,0.41356,0.5,56,23,44,101,1.82
NY,b,1959,104,0.54590,0.42885,0.5,33,14,26,57,1.74
NY,b,1959,105,0.57024,0.44373,0.5,19,8,15,31,1.68
NY,b,1959,106,0.59427,0.45814,0.5,10,5,8,17,1.62
NY,b,1959,107,0.61789,0.47205,0.5,6,3,4,9,1.57
NY,b,1959,108,0.64098,0.48541,0.5,3,1,2,5,1.52
NY,b,1959,109,0.66345,0.49819,0.5,2,1,1,2,1.48
NY,b,1959,110+,0.68523,1.00000,1.46,1,1,1,1,1.46
NY,b,1960,0,0.02481,0.02428,0.12,100000,2428,97857,6966643,69.67
