PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,b,1959,0,0.02518,0.02463,0.12,100000,2463,97828,7014279,70.14
OH,b,1959,1,0.00145,0.00145,0.5,97537,141,97466,6916452,70.91
OH,b,1959,2,0.00081,0.00081,0.5,97396,79,97356,6818985,70.01
OH,b,1959,3,0.00069,0.00069,0.5,97316,67,97283,6721630,69.07
OH,b,1959,4,0.00066,0.00066,0.5,97249,64,97217,6624347,68.12
OH,b,1959,5,0.00048,0.00048,0.5,97185,47,97162,6527129,67.16
OH,b,1959,6,0.00048,0.00048,0.5,97139,47,97115,6429967,66.19
OH,b,1959,7,0.00048,0.00048,0.5,97092,46,97068,6332852,65.23
OH,b,1959,8,0.00047,0.00047,0.5,97045,45,97023,6235784,64.26
OH,b,1959,9,0.00041,0.00041,0.5,97000,40,96980,6138761,63.29
OH,b,1959,10,0.00038,0.00038,0.5,96960,37,96942,6041781,62.31
OH,b,1959,11,0.00052,0.00052,0.5,96923,50,96898,5944839,61.34
OH,b,1959,12,0.00046,0.00046,0.5,96873,45,96851,5847941,60.37
OH,b,1959,13,0.00042,0.00042,0.5,96828,41,96808,5751090,59.39
OH,b,1959,14,0.00044,0.00044,0.5,96788,42,96767,5654282,58.42
OH,b,1959,15,0.00058,0.00058,0.5,96745,56,96717,5557516,57.44
OH,b,1959,16,0.00082,0.00082,0.5,96689,80,96649,5460799,56.48
OH,b,1959,17,0.00088,0.00088,0.5,96609,85,96567,5364150,55.52
OH,b,1959,18,0.00093,0.00093,0.5,96525,90,96480,5267583,54.57
OH,b,1959,19,0.00085,0.00085,0.5,96435,82,96394,5171103,53.62
OH,b,1959,20,0.00111,0.00111,0.5,96353,107,96299,5074709,52.67
OH,b,1959,21,0.00104,0.00104,0.5,96246,100,96196,4978410,51.73
OH,b,1959,22,0.00109,0.00109,0.5,96146,105,96094,4882214,50.78
OH,b,1959,23,0.00110,0.00110,0.5,96042,105,95989,4786120,49.83
OH,b,1959,24,0.00104,0.00104,0.5,95936,100,95887,4690131,48.89
OH,b,1959,25,0.00108,0.00107,0.5,95837,103,95785,4594244,47.94
OH,b,1959,26,0.00107,0.00107,0.5,95734,102,95683,4498459,46.99
OH,b,1959,27,0.00101,0.00101,0.5,95631,97,95583,4402777,46.04
OH,b,1959,28,0.00116,0.00116,0.5,95535,111,95480,4307193,45.09
OH,b,1959,29,0.00127,0.00126,0.5,95424,121,95364,4211714,44.14
OH,b,1959,30,0.00127,0.00127,0.5,95303,121,95243,4116350,43.19
OH,b,1959,31,0.00128,0.00128,0.5,95183,122,95122,4021107,42.25
OH,b,1959,32,0.00147,0.00147,0.5,95061,140,94991,3925985,41.30
OH,b,1959,33,0.00155,0.00154,0.5,94921,147,94848,3830993,40.36
OH,b,1959,34,0.00162,0.00162,0.5,94775,154,94698,3736145,39.42
OH,b,1959,35,0.00202,0.00202,0.5,94621,191,94526,3641447,38.48
OH,b,1959,36,0.00182,0.00182,0.5,94430,172,94344,3546922,37.56
OH,b,1959,37,0.00254,0.00253,0.5,94258,239,94139,3452578,36.63
OH,b,1959,38,0.00252,0.00252,0.5,94019,237,93901,3358439,35.72
