PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,b,1959,0,0.02515,0.02461,0.12,100000,2461,97831,7112599,71.13
OK,b,1959,1,0.00203,0.00203,0.5,97539,198,97440,7014768,71.92
OK,b,1959,2,0.00100,0.00100,0.5,97341,97,97293,6917328,71.06
OK,b,1959,3,0.00068,0.00068,0.5,97245,67,97211,6820035,70.13
OK,b,1959,4,0.00080,0.00080,0.5,97178,78,97139,6722824,69.18
OK,b,1959,5,0.00070,0.00070,0.5,97100,68,97066,6625685,68.24
OK,b,1959,6,0.00061,0.00061,0.5,97032,59,97002,6528619,67.28
OK,b,1959,7,0.00050,0.00050,0.5,96973,49,96948,6431617,66.32
OK,b,1959,8,0.00045,0.00045,0.5,96924,43,96902,6334668,65.36
OK,b,1959,9,0.00050,0.00050,0.5,96881,48,96857,6237766,64.39
OK,b,1959,10,0.00058,0.00058,0.5,96833,56,96805,6140909,63.42
OK,b,1959,11,0.00054,0.00054,0.5,96776,52,96750,6044105,62.45
OK,b,1959,12,0.00072,0.00072,0.5,96724,70,96689,5947354,61.49
OK,b,1959,13,0.00031,0.00031,0.5,96654,30,96639,5850665,60.53
OK,b,1959,14,0.00075,0.00075,0.5,96624,72,96588,5754026,59.55
OK,b,1959,15,0.00099,0.00098,0.5,96552,95,96504,5657438,58.59
OK,b,1959,16,0.00091,0.00091,0.5,96457,87,96413,5560934,57.65
OK,b,1959,17,0.00118,0.00118,0.5,96369,114,96312,5464521,56.70
OK,b,1959,18,0.00111,0.00111,0.5,96255,106,96202,5368209,55.77
OK,b,1959,19,0.00130,0.00130,0.5,96149,125,96086,5272007,54.83
OK,b,1959,20,0.00159,0.00159,0.5,96024,153,95948,5175921,53.90
OK,b,1959,21,0.00125,0.00125,0.5,95871,120,95811,5079973,52.99
OK,b,1959,22,0.00179,0.00179,0.5,95751,172,95666,4984161,52.05
OK,b,1959,23,0.00070,0.00070,0.5,95580,67,95546,4888496,51.15
OK,b,1959,24,0.00137,0.00137,0.5,95513,131,95447,4792949,50.18
OK,b,1959,25,0.00146,0.00146,0.5,95382,139,95312,4697502,49.25
OK,b,1959,26,0.00137,0.00137,0.5,95243,130,95178,4602190,48.32
OK,b,1959,27,0.00163,0.00163,0.5,95112,155,95035,4507012,47.39
OK,b,1959,28,0.00136,0.00136,0.5,94958,129,94893,4411977,46.46
OK,b,1959,29,0.00167,0.00166,0.5,94829,158,94750,4317084,45.53
OK,b,1959,30,0.00212,0.00212,0.5,94671,201,94570,4222334,44.60
OK,b,1959,31,0.00173,0.00173,0.5,94470,163,94388,4127764,43.69
OK,b,1959,32,0.00152,0.00152,0.5,94307,143,94235,4033375,42.77
OK,b,1959,33,0.00156,0.00156,0.5,94163,147,94090,3939140,41.83
OK,b,1959,34,0.00174,0.00173,0.5,94017,163,93935,3845050,40.90
OK,b,1959,35,0.00214,0.00214,0.5,93854,201,93753,3751115,39.97
OK,b,1959,36,0.00235,0.00235,0.5,93653,220,93543,3657362,39.05
OK,b,1959,37,0.00243,0.00242,0.5,93433,226,93319,3563819,38.14
OK,b,1959,38,0.00271,0.00271,0.5,93206,252,93080,3470500,37.23
OK,b,1959,39,0.00262,0.00261,0.5,92954,243,92832,3377420,36.33
OK,b,1959,40,0.00262,0.00262,0.5,92711,243,92590,3284588,35.43
OK,b,1959,41,0.00318,0.00317,0.5,92468,293,92322,3191998,34.52
OK,b,1959,42,0.00349,0.00348,0.5,92175,321,92015,3099677,33.63
OK,b,1959,43,0.00351,0.00351,0.5,91854,322,91693,3007662,32.74
OK,b,1959,44,0.00373,0.00372,0.5,91532,340,91362,2915969,31.86
OK,b,1959,45,0.00475,0.00474,0.5,91192,432,90976,2824607,30.97
OK,b,1959,46,0.00477,0.00475,0.5,90760,431,90544,2733631,30.12
OK,b,1959,47,0.00459,0.00458,0.5,90328,413,90121,2643088,29.26
OK,b,1959,48,0.00519,0.00518,0.5,89915,466,89682,2552966,28.39
OK,b,1959,49,0.00654,0.00652,0.5,89449,583,89158,2463284,27.54
OK,b,1959,50,0.00684,0.00682,0.5,88866,606,88563,2374127,26.72
OK,b,1959,51,0.00819,0.00816,0.5,88261,720,87900,2285563,25.90
OK,b,1959,52,0.00852,0.00848,0.5,87540,742,87169,2197663,25.10
OK,b,1959,53,0.00803,0.00799,0.5,86798,694,86451,2110494,24.32
OK,b,1959,54,0.00979,0.00975,0.5,86104,839,85685,2024042,23.51
OK,b,1959,55,0.00880,0.00876,0.5,85265,747,84892,1938358,22.73
OK,b,1959,56,0.01059,0.01054,0.5,84518,890,84073,1853466,21.93
OK,b,1959,57,0.01124,0.01118,0.5,83628,935,83161,1769393,21.16
OK,b,1959,58,0.01302,0.01294,0.5,82693,1070,82158,1686233,20.39
OK,b,1959,59,0.01400,0.01390,0.5,81623,1134,81056,1604074,19.65
OK,b,1959,60,0.01385,0.01375,0.5,80489,1107,79936,1523018,18.92
OK,b,1959,61,0.01513,0.01501,0.5,79382,1192,78786,1443082,18.18
OK,b,1959,62,0.01779,0.01763,0.5,78190,1379,77501,1364296,17.45
OK,b,1959,63,0.02134,0.02112,0.5,76812,1622,76001,1286795,16.75
OK,b,1959,64,0.02123,0.02101,0.5,75190,1579,74400,1210795,16.10
OK,b,1959,65,0.02215,0.02191,0.5,73610,1613,72804,1136395,15.44
OK,b,1959,66,0.02372,0.02345,0.5,71998,1688,71154,1063591,14.77
OK,b,1959,67,0.02564,0.02531,0.5,70310,1780,69420,992437,14.12
OK,b,1959,68,0.02934,0.02892,0.5,68530,1982,67539,923017,13.47
OK,b,1959,69,0.03059,0.03013,0.5,66548,2005,65546,855478,12.86
OK,b,1959,70,0.03266,0.03213,0.5,64543,2074,63506,789933,12.24
OK,b,1959,71,0.03564,0.03502,0.5,62470,2187,61376,726426,11.63
OK,b,1959,72,0.04197,0.04111,0.5,60282,2478,59043,665050,11.03
OK,b,1959,73,0.04201,0.04114,0.5,57804,2378,56615,606007,10.48
OK,b,1959,74,0.04952,0.04832,0.5,55426,2678,54087,549392,9.91
OK,b,1959,75,0.05250,0.05115,0.5,52748,2698,51399,495305,9.39
OK,b,1959,76,0.05628,0.05474,0.5,50049,2740,48680,443907,8.87
OK,b,1959,77,0.06061,0.05883,0.5,47310,2783,45918,395227,8.35
