PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
PA,b,1959,0,0.02554,0.02498,0.12,100000,2498,97800,6939007,69.39
PA,b,1959,1,0.00141,0.00141,0.5,97502,138,97433,6841207,70.16
PA,b,1959,2,0.00094,0.00094,0.5,97365,92,97319,6743774,69.26
PA,b,1959,3,0.00073,0.00073,0.5,97273,71,97237,6646455,68.33
PA,b,1959,4,0.00062,0.00062,0.5,97201,61,97171,6549218,67.38
PA,b,1959,5,0.00064,0.00064,0.5,97141,62,97110,6452047,66.42
PA,b,1959,6,0.00052,0.00052,0.5,97078,50,97053,6354937,65.46
PA,b,1959,7,0.00044,0.00044,0.5,97028,43,97007,6257884,64.50
PA,b,1959,8,0.00042,0.00042,0.5,96985,41,96965,6160878,63.52
PA,b,1959,9,0.00035,0.00035,0.5,96944,34,96927,6063913,62.55
PA,b,1959,10,0.00037,0.00037,0.5,96910,36,96893,5966986,61.57
PA,b,1959,11,0.00038,0.00038,0.5,96875,37,96856,5870093,60.59
PA,b,1959,12,0.00046,0.00046,0.5,96838,45,96816,5773237,59.62
PA,b,1959,13,0.00035,0.00035,0.5,96793,33,96776,5676421,58.64
PA,b,1959,14,0.00042,0.00042,0.5,96760,41,96739,5579645,57.66
PA,b,1959,15,0.00058,0.00058,0.5,96719,57,96690,5482906,56.69
PA,b,1959,16,0.00085,0.00085,0.5,96662,82,96621,5386215,55.72
PA,b,1959,17,0.00073,0.00073,0.5,96580,71,96545,5289594,54.77
PA,b,1959,18,0.00096,0.00096,0.5,96509,93,96463,5193049,53.81
PA,b,1959,19,0.00102,0.00102,0.5,96417,98,96368,5096586,52.86
PA,b,1959,20,0.00095,0.00095,0.5,96318,91,96273,5000218,51.91
PA,b,1959,21,0.00124,0.00124,0.5,96227,119,96168,4903945,50.96
PA,b,1959,22,0.00106,0.00106,0.5,96108,101,96057,4807778,50.02
PA,b,1959,23,0.00110,0.00110,0.5,96006,106,95953,4711721,49.08
PA,b,1959,24,0.00092,0.00092,0.5,95900,89,95856,4615767,48.13
PA,b,1959,25,0.00105,0.00105,0.5,95812,101,95762,4519911,47.17
PA,b,1959,26,0.00101,0.00101,0.5,95711,97,95663,4424150,46.22
PA,b,1959,27,0.00113,0.00113,0.5,95614,108,95561,4328487,45.27
PA,b,1959,28,0.00118,0.00118,0.5,95507,113,95450,4232926,44.32
PA,b,1959,29,0.00114,0.00114,0.5,95394,108,95339,4137476,43.37
PA,b,1959,30,0.00126,0.00126,0.5,95285,120,95225,4042137,42.42
PA,b,1959,31,0.00125,0.00124,0.5,95165,118,95106,3946912,41.47
PA,b,1959,32,0.00151,0.00151,0.5,95047,144,94975,3851806,40.53
PA,b,1959,33,0.00158,0.00158,0.5,94903,150,94828,3756830,39.59
PA,b,1959,34,0.00159,0.00159,0.5,94754,151,94678,3662002,38.65
PA,b,1959,35,0.00184,0.00184,0.5,94603,174,94516,3567324,37.71
PA,b,1959,36,0.00198,0.00198,0.5,94429,187,94336,3472808,36.78
