PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SC,b,1959,0,0.03503,0.03401,0.15,100000,3401,97093,6637351,66.37
SC,b,1959,1,0.00294,0.00294,0.5,96599,284,96457,6540257,67.71
SC,b,1959,2,0.00216,0.00216,0.5,96315,208,96211,6443801,66.90
SC,b,1959,3,0.00099,0.00099,0.5,96107,95,96059,6347590,66.05
SC,b,1959,4,0.00084,0.00084,0.5,96012,81,95971,6251530,65.11
SC,b,1959,5,0.00066,0.00066,0.5,95931,63,95899,6155559,64.17
SC,b,1959,6,0.00103,0.00102,0.5,95867,98,95818,6059660,63.21
SC,b,1959,7,0.00066,0.00066,0.5,95769,63,95737,5963842,62.27
SC,b,1959,8,0.00058,0.00058,0.5,95706,56,95678,5868105,61.31
SC,b,1959,9,0.00053,0.00053,0.5,95650,50,95625,5772427,60.35
SC,b,1959,10,0.00061,0.00061,0.5,95600,59,95570,5676802,59.38
SC,b,1959,11,0.00032,0.00032,0.5,95541,31,95526,5581232,58.42
SC,b,1959,12,0.00059,0.00058,0.5,95510,56,95482,5485706,57.44
SC,b,1959,13,0.00070,0.00070,0.5,95454,67,95421,5390224,56.47
SC,b,1959,14,0.00079,0.00079,0.5,95387,75,95350,5294803,55.51
SC,b,1959,15,0.00091,0.00091,0.5,95312,87,95269,5199453,54.55
SC,b,1959,16,0.00113,0.00113,0.5,95225,108,95171,5104185,53.60
SC,b,1959,17,0.00087,0.00087,0.5,95118,83,95076,5009014,52.66
SC,b,1959,18,0.00136,0.00136,0.5,95035,129,94970,4913937,51.71
SC,b,1959,19,0.00141,0.00141,0.5,94905,134,94839,4818967,50.78
SC,b,1959,20,0.00195,0.00195,0.5,94772,185,94679,4724129,49.85
SC,b,1959,21,0.00169,0.00169,0.5,94587,160,94507,4629449,48.94
SC,b,1959,22,0.00174,0.00173,0.5,94427,164,94346,4534942,48.03
SC,b,1959,23,0.00157,0.00157,0.5,94264,148,94190,4440596,47.11
SC,b,1959,24,0.00165,0.00165,0.5,94115,155,94038,4346407,46.18
SC,b,1959,25,0.00202,0.00202,0.5,93960,190,93865,4252369,45.26
SC,b,1959,26,0.00196,0.00196,0.5,93770,184,93678,4158504,44.35
SC,b,1959,27,0.00208,0.00208,0.5,93587,194,93489,4064825,43.43
SC,b,1959,28,0.00206,0.00206,0.5,93392,192,93296,3971336,42.52
SC,b,1959,29,0.00235,0.00235,0.5,93200,219,93090,3878040,41.61
SC,b,1959,30,0.00273,0.00272,0.5,92981,253,92854,3784950,40.71
SC,b,1959,31,0.00225,0.00224,0.5,92728,208,92624,3692095,39.82
SC,b,1959,32,0.00306,0.00305,0.5,92520,282,92378,3599472,38.90
SC,b,1959,33,0.00289,0.00288,0.5,92237,266,92104,3507093,38.02
