PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TN,b,1959,0,0.03154,0.03070,0.14,100000,3070,97346,6953297,69.53
TN,b,1959,1,0.00181,0.00180,0.5,96930,175,96843,6855952,70.73
TN,b,1959,2,0.00120,0.00120,0.5,96755,116,96697,6759109,69.86
TN,b,1959,3,0.00083,0.00083,0.5,96639,80,96599,6662412,68.94
TN,b,1959,4,0.00075,0.00075,0.5,96559,72,96523,6565813,68.00
TN,b,1959,5,0.00073,0.00073,0.5,96487,71,96452,6469290,67.05
TN,b,1959,6,0.00034,0.00034,0.5,96416,33,96400,6372838,66.10
TN,b,1959,7,0.00037,0.00037,0.5,96383,35,96365,6276438,65.12
TN,b,1959,8,0.00037,0.00037,0.5,96348,36,96330,6180073,64.14
TN,b,1959,9,0.00048,0.00048,0.5,96312,46,96288,6083744,63.17
TN,b,1959,10,0.00035,0.00035,0.5,96265,34,96248,5987455,62.20
TN,b,1959,11,0.00048,0.00048,0.5,96231,46,96208,5891207,61.22
TN,b,1959,12,0.00057,0.00057,0.5,96185,55,96158,5794999,60.25
TN,b,1959,13,0.00042,0.00042,0.5,96131,41,96110,5698840,59.28
TN,b,1959,14,0.00065,0.00065,0.5,96090,62,96059,5602730,58.31
TN,b,1959,15,0.00064,0.00064,0.5,96027,62,95997,5506672,57.34
TN,b,1959,16,0.00105,0.00105,0.5,95966,100,95916,5410675,56.38
TN,b,1959,17,0.00116,0.00116,0.5,95865,112,95809,5314759,55.44
TN,b,1959,18,0.00119,0.00119,0.5,95754,114,95697,5218950,54.50
TN,b,1959,19,0.00100,0.00100,0.5,95640,96,95592,5123253,53.57
TN,b,1959,20,0.00130,0.00130,0.5,95544,124,95482,5027661,52.62
TN,b,1959,21,0.00125,0.00125,0.5,95420,119,95361,4932179,51.69
TN,b,1959,22,0.00130,0.00130,0.5,95301,124,95239,4836818,50.75
TN,b,1959,23,0.00158,0.00157,0.5,95178,150,95103,4741579,49.82
TN,b,1959,24,0.00143,0.00143,0.5,95028,136,94960,4646476,48.90
TN,b,1959,25,0.00159,0.00159,0.5,94892,151,94816,4551517,47.97
TN,b,1959,26,0.00135,0.00135,0.5,94741,128,94677,4456700,47.04
TN,b,1959,27,0.00128,0.00128,0.5,94613,121,94553,4362023,46.10
TN,b,1959,28,0.00150,0.00150,0.5,94493,142,94422,4267470,45.16
TN,b,1959,29,0.00161,0.00161,0.5,94351,152,94275,4173048,44.23
TN,b,1959,30,0.00174,0.00174,0.5,94199,164,94117,4078773,43.30
TN,b,1959,31,0.00146,0.00146,0.5,94035,138,93966,3984656,42.37
TN,b,1959,32,0.00188,0.00187,0.5,93898,176,93810,3890690,41.44
TN,b,1959,33,0.00208,0.00208,0.5,93722,195,93624,3796880,40.51
TN,b,1959,34,0.00225,0.00225,0.5,93527,210,93422,3703256,39.60
TN,b,1959,35,0.00202,0.00202,0.5,93316,188,93222,3609834,38.68
TN,b,1959,36,0.00254,0.00254,0.5,93128,237,93010,3516612,37.76
TN,b,1959,37,0.00255,0.00254,0.5,92892,236,92773,3423602,36.86
TN,b,1959,38,0.00291,0.00291,0.5,92655,270,92520,3330829,35.95
TN,b,1959,39,0.00333,0.00332,0.5,92386,307,92232,3238308,35.05
TN,b,1959,40,0.00301,0.00300,0.5,92079,277,91940,3146076,34.17
TN,b,1959,41,0.00300,0.00299,0.5,91802,275,91665,3054136,33.27
TN,b,1959,42,0.00418,0.00417,0.5,91527,382,91336,2962472,32.37
TN,b,1959,43,0.00382,0.00381,0.5,91146,347,90972,2871135,31.50
TN,b,1959,44,0.00442,0.00441,0.5,90798,401,90598,2780163,30.62
TN,b,1959,45,0.00560,0.00558,0.5,90398,505,90145,2689565,29.75
TN,b,1959,46,0.00570,0.00569,0.5,89893,511,89638,2599420,28.92
TN,b,1959,47,0.00641,0.00639,0.5,89382,571,89097,2509782,28.08
TN,b,1959,48,0.00610,0.00608,0.5,88811,540,88541,2420685,27.26
TN,b,1959,49,0.00726,0.00724,0.5,88271,639,87952,2332144,26.42
TN,b,1959,50,0.00743,0.00740,0.5,87632,649,87308,2244193,25.61
TN,b,1959,51,0.00838,0.00835,0.5,86983,726,86620,2156885,24.80
TN,b,1959,52,0.00971,0.00966,0.5,86257,833,85841,2070264,24.00
TN,b,1959,53,0.01101,0.01095,0.5,85424,936,84956,1984424,23.23
TN,b,1959,54,0.01029,0.01024,0.5,84488,865,84056,1899468,22.48
TN,b,1959,55,0.01124,0.01118,0.5,83623,935,83156,1815412,21.71
TN,b,1959,56,0.01220,0.01213,0.5,82689,1003,82187,1732256,20.95
TN,b,1959,57,0.01209,0.01201,0.5,81686,981,81195,1650068,20.20
TN,b,1959,58,0.01595,0.01582,0.5,80705,1277,80066,1568873,19.44
TN,b,1959,59,0.01657,0.01643,0.5,79428,1305,78775,1488807,18.74
TN,b,1959,60,0.01607,0.01594,0.5,78123,1245,77500,1410032,18.05
TN,b,1959,61,0.01814,0.01798,0.5,76878,1382,76187,1332532,17.33
TN,b,1959,62,0.02020,0.02000,0.5,75496,1510,74741,1256345,16.64
TN,b,1959,63,0.02236,0.02212,0.5,73986,1636,73168,1181604,15.97
TN,b,1959,64,0.02198,0.02175,0.5,72350,1573,71563,1108436,15.32
TN,b,1959,65,0.02760,0.02722,0.5,70776,1927,69813,1036873,14.65
TN,b,1959,66,0.02572,0.02539,0.5,68850,1748,67976,967060,14.05
TN,b,1959,67,0.03102,0.03054,0.5,67101,2050,66077,899085,13.40
TN,b,1959,68,0.03211,0.03160,0.5,65052,2056,64024,833008,12.81
TN,b,1959,69,0.03656,0.03590,0.5,62996,2262,61866,768984,12.21
TN,b,1959,70,0.04075,0.03994,0.5,60735,2426,59522,707118,11.64
TN,b,1959,71,0.03812,0.03741,0.5,58309,2181,57218,647597,11.11
TN,b,1959,72,0.04587,0.04485,0.5,56128,2517,54869,590378,10.52
TN,b,1959,73,0.05036,0.04912,0.5,53610,2633,52294,535509,9.99
TN,b,1959,74,0.05446,0.05301,0.5,50977,2703,49626,483215,9.48
TN,b,1959,75,0.06054,0.05877,0.5,48275,2837,46856,433590,8.98
TN,b,1959,76,0.06384,0.06186,0.5,45438,2811,44032,386733,8.51
TN,b,1959,77,0.06533,0.06326,0.5,42627,2697,41279,342701,8.04
TN,b,1959,78,0.07639,0.07358,0.5,39930,2938,38461,301422,7.55
TN,b,1959,79,0.08347,0.08013,0.5,36992,2964,35510,262961,7.11
TN,b,1959,80,0.09355,0.08937,0.5,34028,3041,32507,227451,6.68
TN,b,1959,81,0.10130,0.09642,0.5,30987,2988,29493,194944,6.29
TN,b,1959,82,0.11853,0.11190,0.5,27999,3133,26433,165451,5.91
TN,b,1959,83,0.12449,0.11719,0.5,24866,2914,23409,139018,5.59
TN,b,1959,84,0.14237,0.13291,0.5,21952,2918,20493,115609,5.27
TN,b,1959,85,0.14570,0.13581,0.5,19034,2585,17742,95116,5.00
TN,b,1959,86,0.17127,0.15776,0.5,16449,2595,15152,77375,4.70
TN,b,1959,87,0.17679,0.16243,0.5,13854,2250,12729,62223,4.49
TN,b,1959,88,0.17741,0.16295,0.5,11604,1891,10658,49494,4.27
TN,b,1959,89,0.19950,0.18141,0.5,9713,1762,8832,38835,4.00
TN,b,1959,90,0.24697,0.21982,0.5,7951,1748,7077,30003,3.77
TN,b,1959,91,0.22414,0.20155,0.5,6203,1250,5578,22926,3.70
TN,b,1959,92,0.23989,0.21420,0.5,4953,1061,4422,17348,3.50
TN,b,1959,93,0.25640,0.22727,0.5,3892,885,3450,12926,3.32
TN,b,1959,94,0.27368,0.24074,0.5,3007,724,2645,9476,3.15
TN,b,1959,95,0.29170,0.25457,0.5,2283,581,1993,6830,2.99
TN,b,1959,96,0.31043,0.26872,0.5,1702,457,1473,4837,2.84
TN,b,1959,97,0.32983,0.28314,0.5,1245,352,1069,3364,2.70
TN,b,1959,98,0.34987,0.29778,0.5,892,266,759,2295,2.57
TN,b,1959,99,0.37048,0.31258,0.5,627,196,529,1536,2.45
TN,b,1959,100,0.39161,0.32749,0.5,431,141,360,1007,2.34
TN,b,1959,101,0.41319,0.34244,0.5,290,99,240,647,2.23
TN,b,1959,102,0.43513,0.35738,0.5,190,68,156,407,2.14
TN,b,1959,103,0.45736,0.37224,0.5,122,46,100,251,2.05
TN,b,1959,104,0.47979,0.38696,0.5,77,30,62,151,1.96
TN,b,1959,105,0.50232,0.40148,0.5,47,19,38,89,1.89
TN,b,1959,106,0.52487,0.41576,0.5,28,12,22,51,1.82
TN,b,1959,107,0.54733,0.42973,0.5,16,7,13,29,1.76
TN,b,1959,108,0.56963,0.44336,0.5,9,4,7,16,1.70
TN,b,1959,109,0.59166,0.45659,0.5,5,2,4,9,1.66
TN,b,1959,110+,0.61335,1.00000,1.63,3,3,5,5,1.63
TN,b,1960,0,0.03024,0.02947,0.13,100000,2947,97443,6937514,69.38
TN,b,1960,1,0.00214,0.00213,0.5,97053,207,96950,6840071,70.48
TN,b,1960,2,0.00122,0.00122,0.5,96846,118,96787,6743122,69.63
TN,b,1960,3,0.00069,0.00069,0.5,96728,67,96695,6646334,68.71
TN,b,1960,4,0.00080,0.00080,0.5,96661,77,96623,6549640,67.76
TN,b,1960,5,0.00075,0.00075,0.5,96584,72,96548,6453017,66.81
TN,b,1960,6,0.00041,0.00041,0.5,96512,40,96492,6356470,65.86
TN,b,1960,7,0.00062,0.00062,0.5,96472,60,96442,6259978,64.89
TN,b,1960,8,0.00041,0.00041,0.5,96412,39,96392,6163536,63.93
TN,b,1960,9,0.00054,0.00054,0.5,96372,52,96346,6067144,62.96
TN,b,1960,10,0.00043,0.00043,0.5,96320,41,96300,5970797,61.99
TN,b,1960,11,0.00049,0.00049,0.5,96279,47,96256,5874498,61.02
TN,b,1960,12,0.00039,0.00039,0.5,96232,37,96214,5778242,60.04
TN,b,1960,13,0.00054,0.00054,0.5,96195,52,96169,5682028,59.07
