PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TX,b,1959,0,0.02997,0.02920,0.13,100000,2920,97463,7041658,70.42
TX,b,1959,1,0.00219,0.00219,0.5,97080,213,96973,6944194,71.53
TX,b,1959,2,0.00117,0.00117,0.5,96867,114,96810,6847221,70.69
TX,b,1959,3,0.00088,0.00088,0.5,96753,85,96711,6750411,69.77
TX,b,1959,4,0.00078,0.00078,0.5,96668,75,96631,6653700,68.83
TX,b,1959,5,0.00053,0.00053,0.5,96593,51,96568,6557070,67.88
TX,b,1959,6,0.00058,0.00058,0.5,96542,56,96514,6460502,66.92
TX,b,1959,7,0.00055,0.00055,0.5,96486,53,96459,6363988,65.96
TX,b,1959,8,0.00047,0.00047,0.5,96433,45,96410,6267529,64.99
TX,b,1959,9,0.00043,0.00043,0.5,96387,41,96367,6171119,64.02
TX,b,1959,10,0.00043,0.00043,0.5,96346,41,96325,6074752,63.05
TX,b,1959,11,0.00034,0.00034,0.5,96304,33,96288,5978427,62.08
TX,b,1959,12,0.00049,0.00049,0.5,96271,48,96248,5882139,61.10
TX,b,1959,13,0.00054,0.00054,0.5,96224,52,96198,5785891,60.13
TX,b,1959,14,0.00072,0.00072,0.5,96172,69,96137,5689694,59.16
TX,b,1959,15,0.00090,0.00090,0.5,96102,87,96059,5593557,58.20
TX,b,1959,16,0.00094,0.00094,0.5,96016,91,95971,5497497,57.26
TX,b,1959,17,0.00090,0.00090,0.5,95925,86,95882,5401527,56.31
TX,b,1959,18,0.00105,0.00105,0.5,95839,101,95789,5305645,55.36
TX,b,1959,19,0.00125,0.00125,0.5,95738,119,95678,5209856,54.42
TX,b,1959,20,0.00150,0.00150,0.5,95619,143,95547,5114178,53.49
TX,b,1959,21,0.00144,0.00144,0.5,95476,138,95407,5018631,52.56
TX,b,1959,22,0.00146,0.00146,0.5,95338,140,95268,4923224,51.64
TX,b,1959,23,0.00122,0.00122,0.5,95198,116,95140,4827956,50.71
TX,b,1959,24,0.00131,0.00131,0.5,95082,124,95020,4732815,49.78
TX,b,1959,25,0.00154,0.00154,0.5,94958,147,94885,4637795,48.84
TX,b,1959,26,0.00146,0.00146,0.5,94811,138,94742,4542910,47.92
TX,b,1959,27,0.00131,0.00131,0.5,94673,124,94611,4448168,46.98
TX,b,1959,28,0.00142,0.00142,0.5,94549,134,94482,4353557,46.05
TX,b,1959,29,0.00147,0.00146,0.5,94415,138,94346,4259075,45.11
TX,b,1959,30,0.00139,0.00139,0.5,94277,131,94211,4164729,44.18
TX,b,1959,31,0.00171,0.00171,0.5,94146,161,94065,4070518,43.24
