PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,b,1959,0,0.01993,0.01958,0.1,100000,1958,98244,7162340,71.62
UT,b,1959,1,0.00204,0.00203,0.5,98042,199,97942,7064095,72.05
UT,b,1959,2,0.00103,0.00103,0.5,97842,101,97792,6966153,71.20
UT,b,1959,3,0.00073,0.00073,0.5,97741,72,97706,6868361,70.27
UT,b,1959,4,0.00075,0.00075,0.5,97670,73,97633,6770656,69.32
UT,b,1959,5,0.00075,0.00075,0.5,97597,74,97560,6673023,68.37
UT,b,1959,6,0.00064,0.00064,0.5,97523,63,97492,6575463,67.42
UT,b,1959,7,0.00063,0.00063,0.5,97461,61,97430,6477971,66.47
UT,b,1959,8,0.00038,0.00038,0.5,97400,37,97381,6380541,65.51
UT,b,1959,9,0.00030,0.00030,0.5,97362,29,97348,6283160,64.53
UT,b,1959,10,0.00075,0.00075,0.5,97333,73,97297,6185812,63.55
UT,b,1959,11,0.00035,0.00035,0.5,97260,34,97243,6088515,62.60
UT,b,1959,12,0.00037,0.00037,0.5,97227,36,97209,5991272,61.62
UT,b,1959,13,0.00048,0.00048,0.5,97191,47,97167,5894063,60.64
UT,b,1959,14,0.00097,0.00097,0.5,97144,95,97097,5796896,59.67
UT,b,1959,15,0.00074,0.00074,0.5,97049,72,97013,5699799,58.73
UT,b,1959,16,0.00094,0.00094,0.5,96977,91,96932,5602786,57.77
UT,b,1959,17,0.00187,0.00187,0.5,96886,181,96795,5505855,56.83
UT,b,1959,18,0.00187,0.00187,0.5,96705,181,96615,5409059,55.93
UT,b,1959,19,0.00116,0.00116,0.5,96524,112,96468,5312445,55.04
UT,b,1959,20,0.00130,0.00130,0.5,96412,125,96349,5215976,54.10
UT,b,1959,21,0.00165,0.00165,0.5,96287,159,96207,5119627,53.17
UT,b,1959,22,0.00142,0.00142,0.5,96128,136,96060,5023420,52.26
UT,b,1959,23,0.00092,0.00092,0.5,95992,89,95947,4927360,51.33
UT,b,1959,24,0.00145,0.00145,0.5,95903,139,95834,4831412,50.38
UT,b,1959,25,0.00157,0.00157,0.5,95764,150,95689,4735579,49.45
UT,b,1959,26,0.00152,0.00152,0.5,95614,145,95541,4639890,48.53
UT,b,1959,27,0.00134,0.00133,0.5,95469,127,95405,4544348,47.60
UT,b,1959,28,0.00096,0.00096,0.5,95341,91,95296,4448943,46.66
UT,b,1959,29,0.00096,0.00096,0.5,95250,91,95204,4353648,45.71
UT,b,1959,30,0.00106,0.00106,0.5,95159,101,95108,4258444,44.75
UT,b,1959,31,0.00071,0.00071,0.5,95058,68,95024,4163336,43.80
UT,b,1959,32,0.00127,0.00127,0.5,94990,121,94929,4068312,42.83
UT,b,1959,33,0.00136,0.00136,0.5,94869,129,94804,3973383,41.88
UT,b,1959,34,0.00107,0.00107,0.5,94740,101,94689,3878578,40.94
UT,b,1959,35,0.00134,0.00134,0.5,94639,127,94575,3783889,39.98
UT,b,1959,36,0.00195,0.00194,0.5,94512,184,94420,3689314,39.04
UT,b,1959,37,0.00122,0.00122,0.5,94328,115,94271,3594894,38.11
UT,b,1959,38,0.00168,0.00167,0.5,94213,158,94134,3500623,37.16
UT,b,1959,39,0.00160,0.00160,0.5,94056,150,93980,3406489,36.22
UT,b,1959,40,0.00275,0.00275,0.5,93905,258,93776,3312508,35.28
UT,b,1959,41,0.00234,0.00234,0.5,93647,219,93537,3218732,34.37
UT,b,1959,42,0.00400,0.00399,0.5,93428,373,93242,3125195,33.45
UT,b,1959,43,0.00252,0.00252,0.5,93055,235,92938,3031953,32.58
UT,b,1959,44,0.00315,0.00314,0.5,92821,292,92675,2939015,31.66
UT,b,1959,45,0.00320,0.00320,0.5,92529,296,92381,2846340,30.76
UT,b,1959,46,0.00431,0.00430,0.5,92233,397,92035,2753959,29.86
UT,b,1959,47,0.00390,0.00389,0.5,91836,358,91658,2661924,28.99
UT,b,1959,48,0.00642,0.00640,0.5,91479,585,91186,2570267,28.10
UT,b,1959,49,0.00485,0.00484,0.5,90893,440,90674,2479080,27.27
UT,b,1959,50,0.00571,0.00570,0.5,90454,515,90196,2388407,26.40
UT,b,1959,51,0.00689,0.00686,0.5,89938,617,89630,2298211,25.55
UT,b,1959,52,0.00928,0.00924,0.5,89321,825,88909,2208581,24.73
UT,b,1959,53,0.00842,0.00838,0.5,88496,742,88125,2119673,23.95
UT,b,1959,54,0.00874,0.00870,0.5,87754,763,87373,2031547,23.15
UT,b,1959,55,0.00924,0.00920,0.5,86991,800,86591,1944175,22.35
UT,b,1959,56,0.00808,0.00805,0.5,86191,694,85844,1857584,21.55
UT,b,1959,57,0.01197,0.01190,0.5,85497,1017,84989,1771740,20.72
UT,b,1959,58,0.01313,0.01305,0.5,84480,1102,83929,1686751,19.97
UT,b,1959,59,0.01465,0.01454,0.5,83378,1213,82771,1602822,19.22
UT,b,1959,60,0.01557,0.01545,0.5,82165,1270,81530,1520051,18.50
UT,b,1959,61,0.01692,0.01677,0.5,80895,1357,80217,1438521,17.78
UT,b,1959,62,0.01854,0.01837,0.5,79538,1461,78808,1358304,17.08
UT,b,1959,63,0.02199,0.02175,0.5,78078,1698,77229,1279496,16.39
UT,b,1959,64,0.02055,0.02034,0.5,76380,1554,75603,1202267,15.74
UT,b,1959,65,0.02514,0.02483,0.5,74826,1858,73897,1126664,15.06
UT,b,1959,66,0.02417,0.02389,0.5,72968,1743,72096,1052767,14.43
UT,b,1959,67,0.02841,0.02802,0.5,71225,1995,70227,980671,13.77
UT,b,1959,68,0.03144,0.03095,0.5,69229,2143,68158,910444,13.15
UT,b,1959,69,0.03689,0.03623,0.5,67087,2430,65871,842286,12.56
UT,b,1959,70,0.03606,0.03542,0.5,64656,2290,63511,776415,12.01
UT,b,1959,71,0.03780,0.03709,0.5,62366,2313,61209,712903,11.43
UT,b,1959,72,0.03999,0.03921,0.5,60053,2354,58876,651694,10.85
UT,b,1959,73,0.03982,0.03904,0.5,57698,2253,56572,592818,10.27
UT,b,1959,74,0.05095,0.04969,0.5,55446,2755,54068,536246,9.67
UT,b,1959,75,0.04550,0.04449,0.5,52691,2344,51519,482178,9.15
UT,b,1959,76,0.06012,0.05837,0.5,50347,2939,48877,430659,8.55
UT,b,1959,77,0.07125,0.06880,0.5,47408,3262,45777,381781,8.05
UT,b,1959,78,0.06985,0.06749,0.5,44147,2979,42657,336004,7.61
UT,b,1959,79,0.08687,0.08326,0.5,41167,3427,39453,293347,7.13
UT,b,1959,80,0.09450,0.09024,0.5,37740,3406,36037,253894,6.73
UT,b,1959,81,0.10321,0.09815,0.5,34334,3370,32649,217857,6.35
UT,b,1959,82,0.11265,0.10665,0.5,30964,3302,29313,185208,5.98
UT,b,1959,83,0.12286,0.11575,0.5,27662,3202,26061,155894,5.64
UT,b,1959,84,0.13388,0.12548,0.5,24460,3069,22926,129833,5.31
UT,b,1959,85,0.14574,0.13584,0.5,21391,2906,19938,106908,5.00
UT,b,1959,86,0.15850,0.14686,0.5,18485,2715,17128,86970,4.70
UT,b,1959,87,0.17218,0.15853,0.5,15770,2500,14520,69842,4.43
UT,b,1959,88,0.18681,0.17085,0.5,13270,2267,12137,55321,4.17
UT,b,1959,89,0.20241,0.18381,0.5,11003,2022,9992,43185,3.92
UT,b,1959,90,0.21900,0.19739,0.5,8981,1773,8094,33193,3.70
UT,b,1959,91,0.23659,0.21156,0.5,7208,1525,6445,25099,3.48
UT,b,1959,92,0.25517,0.22630,0.5,5683,1286,5040,18653,3.28
UT,b,1959,93,0.27472,0.24154,0.5,4397,1062,3866,13613,3.10
UT,b,1959,94,0.29521,0.25724,0.5,3335,858,2906,9747,2.92
UT,b,1959,95,0.31661,0.27334,0.5,2477,677,2138,6841,2.76
UT,b,1959,96,0.33885,0.28976,0.5,1800,522,1539,4703,2.61
UT,b,1959,97,0.36187,0.30643,0.5,1278,392,1083,3164,2.47
UT,b,1959,98,0.38558,0.32326,0.5,887,287,743,2081,2.35
UT,b,1959,99,0.40988,0.34016,0.5,600,204,498,1338,2.23
UT,b,1959,100,0.43466,0.35706,0.5,396,141,325,840,2.12
UT,b,1959,101,0.45980,0.37385,0.5,255,95,207,515,2.02
UT,b,1959,102,0.48519,0.39046,0.5,159,62,128,308,1.93
UT,b,1959,103,0.51068,0.40680,0.5,97,40,77,179,1.85
UT,b,1959,104,0.53614,0.42280,0.5,58,24,45,102,1.77
UT,b,1959,105,0.56144,0.43838,0.5,33,15,26,57,1.70
UT,b,1959,106,0.58645,0.45348,0.5,19,8,14,31,1.64
UT,b,1959,107,0.61104,0.46804,0.5,10,5,8,16,1.58
UT,b,1959,108,0.63510,0.48203,0.5,5,3,4,8,1.53
UT,b,1959,109,0.65852,0.49540,0.5,3,1,2,4,1.49
UT,b,1959,110+,0.68121,1.00000,1.47,1,1,2,2,1.47
UT,b,1960,0,0.01993,0.01958,0.1,100000,1958,98245,7174666,71.75
UT,b,1960,1,0.00148,0.00148,0.5,98042,145,97970,7076421,72.18
UT,b,1960,2,0.00098,0.00098,0.5,97897,96,97849,6978451,71.28
UT,b,1960,3,0.00084,0.00084,0.5,97801,82,97760,6880602,70.35
UT,b,1960,4,0.00074,0.00073,0.5,97719,72,97683,6782842,69.41
UT,b,1960,5,0.00075,0.00075,0.5,97647,73,97611,6685159,68.46
UT,b,1960,6,0.00063,0.00063,0.5,97574,61,97544,6587548,67.51
UT,b,1960,7,0.00051,0.00051,0.5,97513,50,97488,6490005,66.56
UT,b,1960,8,0.00031,0.00031,0.5,97463,31,97448,6392516,65.59
UT,b,1960,9,0.00053,0.00053,0.5,97432,51,97407,6295069,64.61
UT,b,1960,10,0.00050,0.00050,0.5,97381,48,97357,6197662,63.64
UT,b,1960,11,0.00060,0.00060,0.5,97333,58,97304,6100305,62.67
UT,b,1960,12,0.00045,0.00045,0.5,97274,43,97253,6003001,61.71
UT,b,1960,13,0.00042,0.00042,0.5,97231,41,97211,5905749,60.74
UT,b,1960,14,0.00067,0.00066,0.5,97190,65,97158,5808538,59.76
UT,b,1960,15,0.00117,0.00117,0.5,97126,113,97069,5711380,58.80
UT,b,1960,16,0.00050,0.00050,0.5,97012,48,96988,5614311,57.87
UT,b,1960,17,0.00132,0.00132,0.5,96964,128,96900,5517323,56.90
UT,b,1960,18,0.00127,0.00127,0.5,96836,123,96775,5420423,55.98
UT,b,1960,19,0.00144,0.00144,0.5,96713,140,96643,5323648,55.05
UT,b,1960,20,0.00164,0.00164,0.5,96573,158,96494,5227005,54.12
UT,b,1960,21,0.00073,0.00073,0.5,96415,71,96380,5130511,53.21
UT,b,1960,22,0.00099,0.00099,0.5,96345,96,96297,5034131,52.25
UT,b,1960,23,0.00109,0.00109,0.5,96249,105,96197,4937834,51.30
UT,b,1960,24,0.00084,0.00084,0.5,96144,81,96104,4841637,50.36
UT,b,1960,25,0.00102,0.00102,0.5,96063,98,96014,4745534,49.40
UT,b,1960,26,0.00114,0.00114,0.5,95965,109,95910,4649520,48.45
UT,b,1960,27,0.00108,0.00108,0.5,95855,103,95804,4553610,47.50
UT,b,1960,28,0.00152,0.00152,0.5,95752,145,95679,4457806,46.56
UT,b,1960,29,0.00131,0.00131,0.5,95607,125,95544,4362126,45.63
UT,b,1960,30,0.00122,0.00122,0.5,95481,117,95423,4266582,44.68
UT,b,1960,31,0.00098,0.00098,0.5,95365,93,95318,4171159,43.74
UT,b,1960,32,0.00072,0.00072,0.5,95271,68,95237,4075841,42.78
UT,b,1960,33,0.00173,0.00173,0.5,95203,165,95121,3980604,41.81
UT,b,1960,34,0.00146,0.00146,0.5,95038,138,94969,3885483,40.88
UT,b,1960,35,0.00160,0.00160,0.5,94900,152,94824,3790514,39.94
UT,b,1960,36,0.00215,0.00215,0.5,94748,203,94646,3695690,39.01
UT,b,1960,37,0.00297,0.00297,0.5,94544,281,94404,3601044,38.09
UT,b,1960,38,0.00244,0.00244,0.5,94264,230,94149,3506640,37.20
UT,b,1960,39,0.00196,0.00196,0.5,94034,184,93942,3412491,36.29
UT,b,1960,40,0.00283,0.00283,0.5,93849,265,93717,3318550,35.36
UT,b,1960,41,0.00295,0.00294,0.5,93584,276,93446,3224833,34.46
UT,b,1960,42,0.00313,0.00313,0.5,93309,292,93163,3131387,33.56
UT,b,1960,43,0.00432,0.00431,0.5,93017,401,92816,3038224,32.66
UT,b,1960,44,0.00338,0.00337,0.5,92616,312,92460,2945408,31.80
UT,b,1960,45,0.00495,0.00493,0.5,92304,455,92076,2852948,30.91
UT,b,1960,46,0.00430,0.00429,0.5,91848,394,91651,2760873,30.06
UT,b,1960,47,0.00478,0.00476,0.5,91454,436,91236,2669221,29.19
UT,b,1960,48,0.00462,0.00461,0.5,91019,419,90809,2577985,28.32
UT,b,1960,49,0.00717,0.00714,0.5,90599,647,90276,2487176,27.45
UT,b,1960,50,0.00671,0.00669,0.5,89952,602,89651,2396900,26.65
UT,b,1960,51,0.00662,0.00659,0.5,89351,589,89056,2307249,25.82
UT,b,1960,52,0.00861,0.00858,0.5,88761,761,88381,2218193,24.99
UT,b,1960,53,0.00950,0.00945,0.5,88000,832,87584,2129812,24.20
UT,b,1960,54,0.00905,0.00901,0.5,87168,785,86775,2042228,23.43
UT,b,1960,55,0.00896,0.00892,0.5,86383,770,85998,1955453,22.64
UT,b,1960,56,0.01037,0.01032,0.5,85612,883,85171,1869455,21.84
UT,b,1960,57,0.01146,0.01140,0.5,84729,966,84246,1784285,21.06
UT,b,1960,58,0.01228,0.01220,0.5,83763,1022,83252,1700038,20.30
UT,b,1960,59,0.01251,0.01243,0.5,82741,1029,82227,1616786,19.54
UT,b,1960,60,0.00953,0.00948,0.5,81712,775,81325,1534559,18.78
UT,b,1960,61,0.01595,0.01582,0.5,80937,1280,80297,1453234,17.96
UT,b,1960,62,0.01704,0.01689,0.5,79657,1346,78984,1372937,17.24
UT,b,1960,63,0.01775,0.01759,0.5,78311,1378,77622,1293953,16.52
UT,b,1960,64,0.02285,0.02259,0.5,76934,1738,76065,1216331,15.81
UT,b,1960,65,0.02186,0.02162,0.5,75195,1626,74382,1140266,15.16
UT,b,1960,66,0.02158,0.02135,0.5,73569,1570,72784,1065884,14.49
UT,b,1960,67,0.02609,0.02575,0.5,71999,1854,71072,993100,13.79
UT,b,1960,68,0.02883,0.02842,0.5,70145,1993,69148,922028,13.14
UT,b,1960,69,0.02897,0.02856,0.5,68152,1946,67178,852880,12.51
UT,b,1960,70,0.03300,0.03247,0.5,66205,2149,65130,785701,11.87
UT,b,1960,71,0.04002,0.03924,0.5,64056,2513,62799,720571,11.25
UT,b,1960,72,0.03828,0.03756,0.5,61542,2312,60386,657772,10.69
UT,b,1960,73,0.05098,0.04971,0.5,59231,2945,57758,597386,10.09
UT,b,1960,74,0.05396,0.05254,0.5,56286,2957,54807,539627,9.59
UT,b,1960,75,0.05831,0.05665,0.5,53329,3021,51818,484820,9.09
UT,b,1960,76,0.06865,0.06638,0.5,50307,3339,48638,433002,8.61
UT,b,1960,77,0.07346,0.07086,0.5,46968,3328,45304,384365,8.18
