PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,b,1959,0,0.02484,0.02431,0.12,100000,2431,97854,7035985,70.36
VT,b,1959,1,0.00168,0.00168,0.5,97569,164,97488,6938131,71.11
VT,b,1959,2,0.00139,0.00139,0.5,97406,135,97338,6840644,70.23
VT,b,1959,3,0.00035,0.00035,0.5,97271,34,97254,6743305,69.33
VT,b,1959,4,0.00070,0.00070,0.5,97237,68,97203,6646051,68.35
VT,b,1959,5,0.00059,0.00059,0.5,97169,58,97140,6548849,67.40
VT,b,1959,6,0.00049,0.00049,0.5,97111,48,97087,6451708,66.44
VT,b,1959,7,0.00038,0.00038,0.5,97063,37,97045,6354621,65.47
VT,b,1959,8,0.00013,0.00013,0.5,97027,12,97021,6257576,64.49
VT,b,1959,9,0.00025,0.00025,0.5,97014,25,97002,6160555,63.50
VT,b,1959,10,0.00063,0.00063,0.5,96990,61,96959,6063553,62.52
VT,b,1959,11,0.00038,0.00038,0.5,96929,36,96910,5966594,61.56
VT,b,1959,12,0.00039,0.00039,0.5,96892,37,96873,5869684,60.58
VT,b,1959,13,0.00087,0.00087,0.5,96855,84,96813,5772810,59.60
VT,b,1959,14,0.00109,0.00109,0.5,96771,105,96718,5675997,58.65
VT,b,1959,15,0.00046,0.00046,0.5,96665,44,96643,5579279,57.72
VT,b,1959,16,0.00015,0.00015,0.5,96621,15,96613,5482636,56.74
VT,b,1959,17,0.00095,0.00095,0.5,96606,92,96560,5386023,55.75
VT,b,1959,18,0.00155,0.00155,0.5,96514,150,96439,5289463,54.80
VT,b,1959,19,0.00057,0.00057,0.5,96365,55,96337,5193023,53.89
VT,b,1959,20,0.00145,0.00145,0.5,96310,140,96240,5096686,52.92
VT,b,1959,21,0.00133,0.00133,0.5,96170,128,96106,5000446,52.00
VT,b,1959,22,0.00144,0.00144,0.5,96042,138,95973,4904341,51.06
VT,b,1959,23,0.00168,0.00167,0.5,95904,161,95823,4808368,50.14
VT,b,1959,24,0.00120,0.00120,0.5,95743,115,95686,4712545,49.22
