PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,b,1959,0,0.02474,0.02421,0.12,100000,2421,97864,7079689,70.80
WA,b,1959,1,0.00130,0.00130,0.5,97579,127,97515,6981826,71.55
WA,b,1959,2,0.00106,0.00106,0.5,97452,103,97400,6884310,70.64
WA,b,1959,3,0.00066,0.00066,0.5,97349,64,97317,6786910,69.72
WA,b,1959,4,0.00068,0.00067,0.5,97285,66,97252,6689593,68.76
WA,b,1959,5,0.00042,0.00042,0.5,97220,41,97199,6592340,67.81
WA,b,1959,6,0.00054,0.00054,0.5,97179,52,97153,6495141,66.84
WA,b,1959,7,0.00037,0.00037,0.5,97127,36,97109,6397988,65.87
WA,b,1959,8,0.00037,0.00037,0.5,97091,36,97073,6300880,64.90
WA,b,1959,9,0.00037,0.00037,0.5,97055,36,97037,6203807,63.92
WA,b,1959,10,0.00042,0.00042,0.5,97019,41,96999,6106770,62.94
WA,b,1959,11,0.00038,0.00038,0.5,96978,37,96960,6009771,61.97
WA,b,1959,12,0.00049,0.00049,0.5,96941,48,96918,5912811,60.99
WA,b,1959,13,0.00052,0.00052,0.5,96894,51,96868,5815894,60.02
WA,b,1959,14,0.00040,0.00040,0.5,96843,38,96824,5719025,59.05
WA,b,1959,15,0.00059,0.00059,0.5,96805,57,96776,5622201,58.08
WA,b,1959,16,0.00093,0.00093,0.5,96748,90,96703,5525425,57.11
WA,b,1959,17,0.00080,0.00080,0.5,96657,78,96619,5428722,56.16
WA,b,1959,18,0.00073,0.00073,0.5,96580,70,96545,5332104,55.21
WA,b,1959,19,0.00101,0.00101,0.5,96510,98,96461,5235559,54.25
WA,b,1959,20,0.00121,0.00121,0.5,96412,116,96354,5139098,53.30
WA,b,1959,21,0.00115,0.00114,0.5,96296,110,96240,5042744,52.37
WA,b,1959,22,0.00113,0.00113,0.5,96185,108,96131,4946504,51.43
WA,b,1959,23,0.00147,0.00147,0.5,96077,141,96006,4850372,50.48
WA,b,1959,24,0.00120,0.00120,0.5,95936,115,95878,4754366,49.56
WA,b,1959,25,0.00144,0.00144,0.5,95821,138,95752,4658488,48.62
WA,b,1959,26,0.00123,0.00123,0.5,95683,118,95624,4562736,47.69
WA,b,1959,27,0.00093,0.00093,0.5,95565,89,95521,4467112,46.74
WA,b,1959,28,0.00117,0.00117,0.5,95476,111,95421,4371591,45.79
WA,b,1959,29,0.00152,0.00152,0.5,95365,145,95293,4276171,44.84
WA,b,1959,30,0.00131,0.00131,0.5,95220,125,95158,4180878,43.91
WA,b,1959,31,0.00127,0.00126,0.5,95096,120,95036,4085720,42.96
