PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WV,b,1959,0,0.02919,0.02847,0.13,100000,2847,97524,6935728,69.36
WV,b,1959,1,0.00166,0.00166,0.5,97153,162,97072,6838203,70.39
WV,b,1959,2,0.00152,0.00152,0.5,96992,148,96918,6741131,69.50
WV,b,1959,3,0.00096,0.00096,0.5,96844,93,96797,6644213,68.61
WV,b,1959,4,0.00083,0.00083,0.5,96751,80,96711,6547416,67.67
WV,b,1959,5,0.00060,0.00060,0.5,96671,58,96641,6450705,66.73
WV,b,1959,6,0.00050,0.00050,0.5,96612,48,96588,6354064,65.77
WV,b,1959,7,0.00052,0.00052,0.5,96564,50,96539,6257475,64.80
WV,b,1959,8,0.00040,0.00040,0.5,96514,39,96494,6160936,63.83
WV,b,1959,9,0.00044,0.00044,0.5,96475,43,96454,6064442,62.86
WV,b,1959,10,0.00060,0.00060,0.5,96432,58,96403,5967988,61.89
WV,b,1959,11,0.00035,0.00035,0.5,96374,34,96358,5871585,60.92
WV,b,1959,12,0.00043,0.00043,0.5,96341,41,96320,5775227,59.95
WV,b,1959,13,0.00049,0.00049,0.5,96299,47,96276,5678907,58.97
WV,b,1959,14,0.00077,0.00077,0.5,96252,74,96215,5582632,58.00
WV,b,1959,15,0.00064,0.00064,0.5,96179,61,96148,5486416,57.04
WV,b,1959,16,0.00079,0.00079,0.5,96117,75,96080,5390268,56.08
WV,b,1959,17,0.00109,0.00109,0.5,96042,104,95990,5294188,55.12
WV,b,1959,18,0.00150,0.00150,0.5,95938,144,95866,5198199,54.18
WV,b,1959,19,0.00158,0.00158,0.5,95794,151,95718,5102333,53.26
WV,b,1959,20,0.00164,0.00164,0.5,95643,157,95564,5006615,52.35
WV,b,1959,21,0.00159,0.00159,0.5,95486,152,95410,4911050,51.43
WV,b,1959,22,0.00152,0.00151,0.5,95334,144,95262,4815640,50.51
WV,b,1959,23,0.00130,0.00130,0.5,95190,123,95128,4720378,49.59
WV,b,1959,24,0.00129,0.00129,0.5,95067,122,95006,4625250,48.65
WV,b,1959,25,0.00178,0.00178,0.5,94944,169,94860,4530244,47.71
WV,b,1959,26,0.00180,0.00179,0.5,94775,170,94690,4435384,46.80
WV,b,1959,27,0.00119,0.00119,0.5,94605,113,94549,4340694,45.88
WV,b,1959,28,0.00130,0.00130,0.5,94492,123,94431,4246145,44.94
WV,b,1959,29,0.00187,0.00187,0.5,94369,177,94281,4151714,43.99
WV,b,1959,30,0.00172,0.00172,0.5,94193,162,94112,4057434,43.08
WV,b,1959,31,0.00141,0.00141,0.5,94031,133,93964,3963322,42.15
WV,b,1959,32,0.00161,0.00160,0.5,93898,151,93823,3869357,41.21
WV,b,1959,33,0.00162,0.00162,0.5,93747,152,93671,3775535,40.27
WV,b,1959,34,0.00242,0.00242,0.5,93595,226,93482,3681863,39.34
WV,b,1959,35,0.00206,0.00206,0.5,93369,193,93273,3588381,38.43
WV,b,1959,36,0.00315,0.00314,0.5,93176,293,93030,3495108,37.51
WV,b,1959,37,0.00270,0.00270,0.5,92884,251,92758,3402078,36.63
WV,b,1959,38,0.00293,0.00292,0.5,92633,271,92497,3309320,35.73
WV,b,1959,39,0.00366,0.00365,0.5,92362,337,92193,3216823,34.83
WV,b,1959,40,0.00261,0.00261,0.5,92025,240,91905,3124629,33.95
WV,b,1959,41,0.00380,0.00380,0.5,91785,348,91610,3032725,33.04
WV,b,1959,42,0.00412,0.00411,0.5,91436,376,91248,2941115,32.17
WV,b,1959,43,0.00456,0.00455,0.5,91061,414,90854,2849866,31.30
WV,b,1959,44,0.00465,0.00464,0.5,90647,421,90436,2759013,30.44
WV,b,1959,45,0.00579,0.00577,0.5,90226,521,89965,2668577,29.58
WV,b,1959,46,0.00473,0.00472,0.5,89705,424,89493,2578611,28.75
WV,b,1959,47,0.00590,0.00588,0.5,89281,525,89019,2489118,27.88
WV,b,1959,48,0.00697,0.00694,0.5,88756,616,88448,2400100,27.04
WV,b,1959,49,0.00776,0.00773,0.5,88140,682,87799,2311652,26.23
WV,b,1959,50,0.00704,0.00702,0.5,87458,614,87151,2223853,25.43
WV,b,1959,51,0.00985,0.00980,0.5,86844,851,86419,2136702,24.60
WV,b,1959,52,0.00980,0.00975,0.5,85993,839,85574,2050283,23.84
WV,b,1959,53,0.00994,0.00990,0.5,85154,843,84733,1964709,23.07
WV,b,1959,54,0.01243,0.01236,0.5,84312,1042,83791,1879976,22.30
WV,b,1959,55,0.01124,0.01118,0.5,83270,931,82805,1796185,21.57
WV,b,1959,56,0.01154,0.01148,0.5,82339,945,81866,1713381,20.81
WV,b,1959,57,0.01391,0.01382,0.5,81394,1125,80831,1631514,20.04
WV,b,1959,58,0.01579,0.01567,0.5,80269,1258,79640,1550683,19.32
WV,b,1959,59,0.01735,0.01720,0.5,79011,1359,78332,1471043,18.62
WV,b,1959,60,0.01517,0.01505,0.5,77652,1169,77068,1392711,17.94
WV,b,1959,61,0.01909,0.01891,0.5,76483,1446,75760,1315643,17.20
WV,b,1959,62,0.01819,0.01802,0.5,75037,1352,74361,1239883,16.52
WV,b,1959,63,0.02346,0.02319,0.5,73685,1709,72830,1165522,15.82
WV,b,1959,64,0.02468,0.02438,0.5,71976,1755,71098,1092691,15.18
WV,b,1959,65,0.02643,0.02609,0.5,70221,1832,69305,1021593,14.55
WV,b,1959,66,0.02838,0.02799,0.5,68389,1914,67432,952288,13.92
WV,b,1959,67,0.03381,0.03325,0.5,66475,2210,65370,884856,13.31
WV,b,1959,68,0.03236,0.03185,0.5,64265,2047,63242,819486,12.75
WV,b,1959,69,0.03887,0.03813,0.5,62218,2372,61032,756244,12.15
WV,b,1959,70,0.03630,0.03566,0.5,59846,2134,58779,695212,11.62
WV,b,1959,71,0.04081,0.03999,0.5,57712,2308,56558,636433,11.03
WV,b,1959,72,0.04621,0.04517,0.5,55404,2503,54153,579875,10.47
WV,b,1959,73,0.05041,0.04917,0.5,52901,2601,51601,525722,9.94
WV,b,1959,74,0.05180,0.05049,0.5,50300,2540,49030,474122,9.43
WV,b,1959,75,0.05743,0.05583,0.5,47760,2666,46427,425092,8.90
WV,b,1959,76,0.06551,0.06343,0.5,45094,2860,43664,378665,8.40
WV,b,1959,77,0.07048,0.06808,0.5,42234,2875,40796,335001,7.93
WV,b,1959,78,0.08119,0.07802,0.5,39358,3071,37823,294205,7.48
WV,b,1959,79,0.09172,0.08770,0.5,36287,3182,34696,256383,7.07
WV,b,1959,80,0.09206,0.08801,0.5,33105,2914,31648,221687,6.70
WV,b,1959,81,0.08946,0.08563,0.5,30191,2585,28899,190039,6.29
WV,b,1959,82,0.10090,0.09606,0.5,27606,2652,26280,161140,5.84
WV,b,1959,83,0.12795,0.12026,0.5,24954,3001,23454,134860,5.40
