PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WY,b,1959,0,0.02680,0.02619,0.12,100000,2619,97704,7001458,70.01
WY,b,1959,1,0.00235,0.00234,0.5,97381,228,97267,6903754,70.89
WY,b,1959,2,0.00136,0.00136,0.5,97153,132,97087,6806487,70.06
WY,b,1959,3,0.00074,0.00074,0.5,97020,72,96984,6709400,69.15
WY,b,1959,4,0.00062,0.00062,0.5,96949,60,96918,6612416,68.21
WY,b,1959,5,0.00075,0.00075,0.5,96888,73,96852,6515497,67.25
WY,b,1959,6,0.00077,0.00077,0.5,96816,75,96778,6418645,66.30
WY,b,1959,7,0.00081,0.00081,0.5,96741,78,96702,6321867,65.35
WY,b,1959,8,0.00043,0.00043,0.5,96662,41,96642,6225166,64.40
WY,b,1959,9,0.00014,0.00014,0.5,96621,14,96614,6128524,63.43
WY,b,1959,10,0.00029,0.00029,0.5,96607,28,96594,6031910,62.44
WY,b,1959,11,0.00043,0.00043,0.5,96580,41,96559,5935316,61.46
WY,b,1959,12,0.00091,0.00091,0.5,96538,88,96494,5838757,60.48
WY,b,1959,13,0.00017,0.00017,0.5,96451,17,96442,5742262,59.54
WY,b,1959,14,0.00113,0.00113,0.5,96434,109,96379,5645820,58.55
WY,b,1959,15,0.00090,0.00090,0.5,96325,86,96282,5549441,57.61
WY,b,1959,16,0.00183,0.00183,0.5,96238,176,96150,5453159,56.66
WY,b,1959,17,0.00127,0.00127,0.5,96062,122,96001,5357009,55.77
WY,b,1959,18,0.00279,0.00279,0.5,95940,267,95806,5261008,54.84
WY,b,1959,19,0.00189,0.00189,0.5,95673,181,95582,5165201,53.99
WY,b,1959,20,0.00210,0.00210,0.5,95492,201,95392,5069619,53.09
WY,b,1959,21,0.00336,0.00336,0.5,95291,320,95131,4974227,52.20
WY,b,1959,22,0.00149,0.00149,0.5,94971,141,94901,4879096,51.37
WY,b,1959,23,0.00146,0.00146,0.5,94830,139,94761,4784195,50.45
WY,b,1959,24,0.00148,0.00147,0.5,94692,140,94622,4689434,49.52
WY,b,1959,25,0.00121,0.00121,0.5,94552,114,94495,4594812,48.60
WY,b,1959,26,0.00142,0.00142,0.5,94438,134,94371,4500317,47.65
WY,b,1959,27,0.00163,0.00163,0.5,94304,154,94227,4405947,46.72
WY,b,1959,28,0.00118,0.00118,0.5,94150,111,94094,4311720,45.80
