"","e0.var","var_of_var_e0","se_of_var_e0"
"AL",0.00195043060565785,1.39083184081962e-07,0.00037293857950333
"AK",0.0141534353003369,6.25022938941923e-06,0.0025000458774629
"AZ",0.00225625790413026,1.79179421184787e-07,0.000423295902631702
"AR",0.00332994007232048,3.61998048360788e-07,0.000601662736390404
"CA",0.000255308610576469,2.11278328551609e-09,4.59650224139627e-05
"CO",0.00244864000290924,1.91435085883522e-07,0.000437532954054345
"CT",0.00239272688724321,1.85413305889579e-07,0.000430596453642595
"DE",0.0117713334174173,4.68129078504084e-06,0.00216362907750863
"FL",0.00060513931035085,1.33319537880666e-08,0.000115464080077168
"GA",0.00122480698800489,5.50394377295981e-08,0.000234604854445934
"HI",0.0071859877363742,1.72985053878596e-06,0.00131523782594098
"ID",0.00779386716417258,1.96735165333492e-06,0.00140262313303856
"IL",0.000700616584445015,1.51650473332549e-08,0.000123146446693581
"IN",0.00139782286313967,6.70036017306814e-08,0.000258850539367183
"IA",0.00275319912668555,2.75048878976797e-07,0.000524451026290155
"KS",0.00321659705653565,3.33912800994553e-07,0.000577851884996972
"KY",0.00209603439912881,1.60330393793276e-07,0.0004004127792582
"LA",0.00194362780227939,1.2311177462701e-07,0.000350872875308151
"ME",0.00641667553411629,1.47176469323407e-06,0.00121316309424334
"MD",0.00170457222361662,9.77272563475425e-08,0.000312613589511944
"MA",0.00133047680788329,6.21696016375454e-08,0.000249338327654505
"MI",0.000882398452818491,2.29250548201281e-08,0.000151410220329171
"MN",0.0017815066007108,1.04176940408726e-07,0.00032276452780429
"MS",0.00320424166266429,3.38479429711013e-07,0.000581789850127186
"MO",0.00152998374643065,8.07881488041746e-08,0.000284232561125876
"MT",0.010020259067973,3.17098088687521e-06,0.00178072482064894
"NE",0.00504711268151802,8.84203051180873e-07,0.00094032071719221
"NV",0.00733081835040424,1.72551880375595e-06,0.00131359004402285
"NH",0.0072780875868006,1.75676186605423e-06,0.00132542893662928
"NJ",0.000982612762971133,3.00743595076053e-08,0.000173419605314985
"NM",0.00528136718153973,9.22693993626002e-07,0.000960569619354059
"NY",0.000435088784054434,6.06914275074828e-09,7.79047030078947e-05
"NC",0.00126869338161048,4.7814575167932e-08,0.000218665441183402
"ND",0.0124478770080196,5.3959693309062e-06,0.00232292258392444
"OH",0.000720825978482585,1.77097997782626e-08,0.000133078171682146
"OK",0.00250103111497211,1.99466200412153e-07,0.000446616390666703
"OR",0.00278151547240754,2.62075368831163e-07,0.000511932972986858
"PA",0.000645071066017937,1.34181195873091e-08,0.000115836607285042
"RI",0.00761049575201475,1.95963622423804e-06,0.00139987007405617
"SC",0.00233485798580157,1.97001335773744e-07,0.000443848325189748
"SD",0.0115092969537515,4.7436945829755e-06,0.00217800242951552
"TN",0.00157471403626951,7.87956342544e-08,0.000280705600682281
"TX",0.000472591827284825,7.36629125263267e-09,8.58271009217524e-05
"UT",0.00427652638086467,6.45483517416059e-07,0.000803419888611216
"VT",0.014383219703292,6.04827655900118e-06,0.00245932441109366
"VA",0.00131797694159092,5.81347494301582e-08,0.000241111487553286
"WA",0.00163884883104402,8.84009044114427e-08,0.00029732289587491
"WV",0.00436031815135631,6.21648609662881e-07,0.000788446960589538
"WI",0.00155735709840108,8.84786580814339e-08,0.00029745362341285
"WY",0.0165504409637003,9.46520164345856e-06,0.00307655678372081
