"","e0.var","var_of_var_e0","se_of_var_e0"
"USA",9.69504255451221e-05,3.2028322412025e-10,1.78964584239522e-05
"AL",0.00619926493343345,1.30242945129622e-06,0.0011412403126845
"AK",0.0453527860196058,6.69048029749646e-05,0.00817953562098513
"AZ",0.0068663799504047,1.414861500126e-06,0.00118947950807318
"AR",0.0105491942359911,3.67267290425684e-06,0.00191642190142381
"CA",0.000804482043594665,2.34161436899474e-08,0.000153023343611187
"CO",0.00685437066716126,1.48367400997124e-06,0.00121806157889133
"CT",0.00678339146354562,1.53447321242016e-06,0.00123873855692804
"DE",0.0358528150329596,3.95044724363483e-05,0.00628525834284863
"FL",0.00204953645128454,1.24110217677512e-07,0.000352292801058313
"GA",0.00391926441515534,4.94755351534049e-07,0.000703388478391599
"HI",0.0208502341519344,1.45231898579716e-05,0.00381093031397473
"ID",0.0235912857029802,1.89633309517155e-05,0.00435469068381619
"IL",0.00211279620697186,1.48869075297069e-07,0.000385835554734227
"IN",0.00407750800343519,5.26225099374877e-07,0.000725413743580087
"IA",0.00783734980761002,2.11161727572416e-06,0.00145314048726342
"KS",0.00907844112622912,2.89657446385789e-06,0.00170193256736508
"KY",0.00611277099199381,1.16567601248748e-06,0.00107966476856823
"LA",0.0058807370961475,1.17430244194773e-06,0.00108365236212898
"ME",0.0174259367360423,9.91400669639748e-06,0.00314865156795691
"MD",0.00496777262906003,7.89274360128926e-07,0.000888411143631667
"MA",0.00352570643201829,3.72105621085835e-07,0.000610004607430006
"MI",0.002543823550705,2.13668311331357e-07,0.000462242697434321
"MN",0.00472413665656706,7.20148567400452e-07,0.000848615677088547
"MS",0.00966670792733284,3.14150517859995e-06,0.0017724291744947
"MO",0.00463344964558822,7.13423539774934e-07,0.000844644031397212
"MT",0.0294071232826675,2.8635179590512e-05,0.00535118487725027
"NE",0.0136754637047303,5.96464454934483e-06,0.0024422621786665
"NV",0.0207789090828731,1.47604544232707e-05,0.00384193368283091
"NH",0.0190066271921676,1.23785312456494e-05,0.00351831369346871
"NJ",0.00292193807047439,3.03941052323999e-07,0.000551308491068294
"NM",0.0165970624345294,9.53534196378125e-06,0.00308793490277584
"NY",0.001377375044755,6.15329789786199e-08,0.000248058418479639
"NC",0.00368376649179055,4.0125827098679e-07,0.000633449501528567
"ND",0.0334981916640129,3.9102571629406e-05,0.00625320490863733
"OH",0.00200160584255731,1.29954203134813e-07,0.00036049161312687
"OK",0.00726870740042076,1.82042912059363e-06,0.00134923278962291
"OR",0.00833801522297309,2.45169040334419e-06,0.00156578747068183
"PA",0.00188202973988119,1.16978468931537e-07,0.000342021152754529
"RI",0.0215144722396364,1.56371946471882e-05,0.00395438928877624
"SC",0.00730019386662929,1.5874802420044e-06,0.00125995247608963
"SD",0.0340542799573611,3.67613100661196e-05,0.00606311059326148
"TN",0.00478962676935899,7.18826174046143e-07,0.000847836171701905
"TX",0.00146592916320636,7.14776639421912e-08,0.000267353069820025
"UT",0.0123476461097054,5.15759286580574e-06,0.0022710334356424
"VT",0.0380812166017438,4.93048681831081e-05,0.0070217425318156
"VA",0.00374143722003504,5.10600893132763e-07,0.000714563428348221
"WA",0.00476287501733268,7.00770559641084e-07,0.000837120397339047
"WV",0.0124082336258011,5.79279533961233e-06,0.00240682266476206
"WI",0.00435778670316063,6.75603458056966e-07,0.000821951007090426
"WY",0.0515828938465089,9.13808180559183e-05,0.00955933146490477
