"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"us_e0",69.94,69.84,70.24,70.12,69.96,70.22,70.25,70.2,70.52,70.22,70.48,70.75,71.1,71.19,71.4,71.97,72.53,72.84,73.21,73.39,73.81,73.71,74.1,74.47,74.56,74.69,74.66,74.74,74.88,74.85,75.13,75.39,75.54,75.8,75.59,75.77,75.88,76.2,76.53,76.69,76.68,76.8,76.93,77.02,77.17,77.57,77.56,77.83,78.08,78.16,78.49,78.67,78.72,78.84,78.83,78.89,78.72,78.68,78.64,78.79,78.92,77.05
"alabama",68.25,67.91,68.56,68.31,68,68.33,68.21,68.26,68.98,68.61,68.71,69.15,69.45,69.56,69.6,70.18,71.03,71.21,71.38,71.91,72.36,72.32,72.86,73.31,73.38,73.29,73.3,73.28,73.6,73.35,73.53,73.66,73.64,74.2,73.83,73.94,73.93,74,74.29,74.29,74.26,74.42,74.51,74.5,74.48,74.63,74.56,74.58,74.89,74.95,75.25,75.3,75.33,75.35,75.29,75.43,75.24,75.06,75.27,75.26,75.48,73.53
"alaska",68.68,67.23,67.99,67.86,68.13,67,68.64,69.21,69.33,69.24,70.05,69.22,69.47,70.19,70.32,70.83,71.63,71.71,72.13,72.12,72.91,72.38,72.97,73.48,73.72,74.16,73.92,73.88,74.5,74.79,75.01,74.96,75.42,75.39,75.54,75.68,75.57,75.83,76.24,76.8,76.61,76.14,76.42,76.88,76.61,77.49,77.67,77.32,77.39,77.74,77.73,77.86,77.93,78.12,78.2,78.13,77.8,77.59,78.09,78.49,78.23,77.08
"arizona",69.43,69.25,69.44,69.38,69.21,69.67,70.45,70.13,70.72,70.45,70.8,70.9,71.05,71.87,71.97,72.52,73.28,73.68,73.89,73.89,74.31,74.17,74.79,75.25,75.49,75.29,75.53,75.54,75.46,75.66,75.93,76.23,76.37,76.32,76.07,76.21,76.41,76.61,77.02,77.05,76.99,77.13,77.29,77.26,77.45,77.82,77.52,77.71,78.29,78.69,78.96,79.13,79.16,79.17,79.28,79.38,79.23,79.01,79.17,79.19,79.29,76.51
"arkansas",70.37,69.89,70.47,69.77,69.57,69.83,70.29,70.42,70.65,70.01,70.32,70.75,70.94,70.9,71.03,71.43,72,72.72,73.07,72.95,73.72,73.34,73.88,74.17,74.04,73.99,73.85,74.15,74.06,73.98,74.22,74.35,74.3,74.6,74.17,74.44,74.55,74.82,74.43,74.84,74.95,74.78,75.05,74.82,75.15,75.26,75.34,75.44,75.64,75.32,75.71,75.95,75.84,75.75,75.78,75.84,75.56,75.61,75.45,75.82,75.89,73.93
"california",71.18,70.83,71.07,71.09,70.88,70.96,71.1,71.1,71.45,71.51,71.44,71.8,72.01,72.29,72.52,73.03,73.35,73.76,74.18,74.21,74.54,74.33,74.83,75.01,75.35,75.23,75.14,75.29,75.3,75.27,75.43,75.82,76.07,76.32,76.25,76.38,76.64,77.1,77.44,77.64,77.87,78.09,78.13,78.37,78.38,78.9,78.91,79.14,79.52,79.82,80.15,80.48,80.51,80.69,80.69,81.03,80.75,80.82,80.87,81.04,81.16,79.24
"colorado",70.88,70.9,71.22,70.94,71.05,71.02,71.5,71.68,72.01,71.32,72.13,72.13,72.35,72.81,72.66,73.48,74.16,74.26,74.76,74.89,75.29,75.42,75.5,75.85,76.23,76.14,76.53,76.43,76.59,76.77,77.16,77.21,77.01,77.53,77.27,77.45,77.52,77.7,78.04,77.98,78.11,78.36,78.34,78.29,78.39,79.1,78.97,79.38,79.58,79.41,79.7,80.03,80.05,80.25,80.32,80.15,80.14,79.95,80.11,80.26,80.22,78.44
"connecticut",71.09,71.05,71.41,71.11,70.99,71.48,71.44,71.47,71.73,71.64,72.18,72.57,72.9,72.99,73.22,73.65,74.02,74.31,74.73,74.89,75.18,74.93,75.39,75.6,75.9,75.86,75.91,76.11,76.26,76.28,76.47,77.12,77.19,77.32,77.08,77.02,77.3,77.57,77.92,78.03,78.44,78.25,78.61,78.72,79.09,79.34,79.51,79.68,80.04,80.25,80.47,80.66,80.64,80.81,80.86,80.97,80.68,80.71,80.53,80.68,80.59,78.71
"delaware",69.65,69.08,69.87,69.72,69.58,69.72,69.61,69.19,69.77,69.31,69.8,69.92,70.93,70.65,71.06,71.21,72.42,72.74,73.22,72.92,73.17,73.15,73.6,73.7,74.58,74.61,73.93,74.11,74.39,74.26,74.37,75.03,75.1,75.49,75.42,75.33,75.78,75.74,76.16,76.34,76.68,76.38,76.18,77.03,76.97,77.07,77.14,77.67,77.98,77.62,78.13,78.18,78.21,78.53,78.8,78.77,78.31,78.21,78.1,78.02,78.39,76.97
"florida",70.34,69.87,70.45,70.15,70.15,70.45,70.53,70.51,71.03,70.48,70.49,70.75,71.32,71.3,71.26,72.15,73.03,73.5,73.71,73.93,74.09,73.82,74.03,74.74,74.91,75.17,74.96,75.17,75.24,75.13,75.41,75.66,75.96,76.16,75.88,75.97,75.99,76.52,76.9,76.99,76.91,76.97,77.04,77.21,77.32,77.56,77.68,77.89,78.25,78.39,78.71,78.87,79.16,79.36,79.43,79.4,79.27,79.09,79.12,79.39,79.57,77.98
