"","d","var_innov","var_samp","var_shock","d_lo","d_hi","var_innov_lo","var_innov_hi","var_shock_lo","var_shock_hi"
"us_e0",0.11659210699014,0.100620223617827,9.69504255451221e-05,2.62060608073298e-09,0.036988514804692,0.196195699175587,0.0703042015000626,0.144008881188878,0,Inf
"alabama",0.0904581589132506,0.110767037287018,0.00619926493343345,0.00893828991383544,0.00681840248720372,0.174097915339297,0.0501232501123927,0.244783339504757,6.6781142597362e-05,1.19634111481837
"alaska",0.14891068245394,0.124590800709053,0.0453527860196058,0.0191109339828661,0.05984664415627,0.23797472075161,0.0503447464185107,0.3083314293071,0.000466858656762651,0.782309147333959
"arizona",0.117737419071973,0.20154270365061,0.0068663799504047,2.25938548763342e-07,0.00501724318656838,0.230457594957377,0.137713069109874,0.294957200920338,0,Inf
"arkansas",0.0652844674088264,0.10540215213556,0.0105491942359911,0.0204329508120938,-0.0164087997721847,0.146977734589837,0.0461953577009999,0.240491993734845,0.00186927098250605,0.223352035524414
"california",0.132435663157279,0.108216901766336,0.000804482043594665,6.21491356681812e-07,0.0498730771986517,0.214998249115907,0.0752708935947862,0.155583350596969,1.04137029036792e-237,3.70906977088571e+224
"colorado",0.129610576871734,0.0907016382606115,0.00685437066716126,0.0166337952357554,0.0538564904672346,0.205364663276234,0.0417469213517298,0.197063326271314,0.00166852814055111,0.165824679380984
"connecticut",0.127008189902996,0.102529007604435,0.00678339146354562,2.5145846161062e-07,0.0465721962473742,0.207444183558617,0.0688833542828772,0.152608674617974,4.28488675547568e-245,1.47568329162425e+231
"delaware",0.126947627811636,0.111936590916204,0.0358528150329596,3.51558705087322e-07,0.0426348046119358,0.211260451011336,0.0660863482940966,0.189597408683887,NA,NA
"florida",0.125860434819406,0.121881209127238,0.00204953645128454,9.35780363031434e-08,0.0382270959713381,0.213493773667473,0.0842580307055185,0.176304015343485,0,Inf
"georgia",0.131104692006935,0.141726492239305,0.00391926441515534,0.00240978749715158,0.0365774092278525,0.225631974786018,0.0648117662560123,0.309919012592786,1.55249237508457e-12,3740485.86300578
"hawaii",0.166040706591466,0.0543572096671427,0.0208502341519344,1.26099311715764e-07,0.107247212085124,0.224834201097807,0.0318532104925419,0.0927600765231977,0,Inf
"idaho",0.125306573286719,0.0518388752507721,0.0235912857029802,9.66576003932555e-08,0.0678495632647395,0.182763583308699,0.0302748218852418,0.0887625036226913,0,Inf
"illinois",0.123553398635715,0.137481294401187,0.00211279620697186,2.28742670734709e-05,0.0304826166493561,0.216624180622073,NA,NA,NA,NA
"indiana",0.0797205432209163,0.109822547963295,0.00407750800343519,0.00960436807819814,-0.00354326598460435,0.162984352426437,0.0493314005495555,0.244489147009608,0.000103992662776076,0.887023023731371
"iowa",0.0967632273433388,0.0897249162460763,0.00783734980761002,0.00367764821471703,0.0214729524156711,0.172053502271006,0.0463330290800173,0.173754247352619,1.93193853662717e-06,7.00079020879402
"kansas",0.0809076004228526,0.0758505205451644,0.00907844112622912,0.00909985809967481,0.0116186865195617,0.150196514326144,0.0367712700475033,0.156461864372374,0.00037775827131999,0.21920742369152
"kentucky",0.0686713145648315,0.0994339026709015,0.00611277099199381,0.0126013411916731,-0.0106036882830174,0.14794631741268,0.0442188844611592,0.223594537059181,0.000450847357206763,0.35221189010127
"louisiana",0.0934556350847291,0.139461728053117,0.0058807370961475,0.0449107426898891,-0.000509999094138736,0.187421269263597,0.0583174612967197,0.333512007537535,0.00898713683471816,0.224429075249601
"maine",0.132757229597526,0.0737396661544373,0.0174259367360423,9.89814743737106e-09,0.064390709452742,0.201123749742309,0.0460290123287605,0.11813284903292,0,Inf
"maryland",0.139909399315497,0.116360847276667,0.00496777262906003,3.1387597992361e-06,0.0542492401446288,0.225569558486365,0.078923492670624,0.171556609075202,NA,NA
"massachusetts",0.144367970507044,0.099623542953517,0.00352570643201829,0.0303501550249372,0.0649636875759813,0.223772253438108,0.0467754671097459,0.21218067768998,0.007342124307911,0.125458501028813
"michigan",0.099990997603422,0.100443954223981,0.002543823550705,2.37617295915394e-08,0.0204261735693294,0.179555821637514,0.0690163575853605,0.146182561542325,0,Inf
"minnesota",0.123201988310652,0.080546247344179,0.00472413665656706,1.30423374709627e-08,0.0519163927747743,0.194487583846531,0.0541821129299467,0.119738740525268,0,Inf
"mississippi",0.0690074168518808,0.200359283525591,0.00966670792733284,5.18450700273941e-07,-0.0434055782979461,0.181420412001708,0.135693640506455,0.295841738382562,0,Inf
"missouri",0.0823635623085228,0.0986114680938394,0.00463344964558822,0.0089339071788612,0.00345129025584515,0.161275834361201,0.0487555699858211,0.199448424917405,0.00020965072786679,0.380703173762513
"montana",0.131417620689266,0.123816426630241,0.0294071232826675,0.00407105795699848,0.0428095318970383,0.220025709481494,0.0544722662155746,0.281436932379705,4.1141395291979e-09,4028.42751725337
"nebraska",0.10198141858888,0.0747141352892553,0.0136754637047303,3.01841377195383e-09,0.0332092409312113,0.170753596246548,0.0470751439306392,0.118580667968769,0,Inf
"nevada",0.146985333671239,0.113669864430304,0.0207789090828731,0.0108697908928623,0.0621094354424918,0.231861231899985,0.049556776971615,0.260727974440396,8.61617468833977e-05,1.37128549882406
"new hampshire",0.144348059243176,0.0650129295875936,0.0190066271921676,3.18586575303694e-10,0.0801128724305397,0.208583246055813,0.0411146705793748,0.102802258999047,0,Inf
"new jersey",0.133383080691929,0.149211919689144,0.00292193807047439,0.00220306544914151,0.0364054073074715,0.230360754076387,0.0637168326325764,0.349424101252902,5.1784130930723e-15,937255735.67974
"new mexico",0.0879631312537615,0.192764805376757,0.0165970624345294,6.09830656682204e-09,-0.0223597293741239,0.198285991881647,0.127716044012727,0.29094441876258,NA,NA
"new york",0.144609164199775,0.191136937603896,0.001377375044755,5.21874223992502e-09,0.0348839513162069,0.254334377083344,0.132978298653084,0.274731510980631,0,Inf
