"","x"
"USA",0.00984634071851681
"AL",0.0787354109243957
"AK",0.212961935611991
"AZ",0.0828636226000571
"AR",0.102709270448149
"CA",0.0283633926672157
"CO",0.0827911267417062
"CT",0.0823613469022066
"DE",0.189348395908071
"FL",0.0452718063620675
"GA",0.0626040287454038
"HI",0.144396101581498
"ID",0.153594549717691
"IL",0.0459651629712314
"IN",0.0638553678513811
"IA",0.0885288077837379
"KS",0.095280853933144
"KY",0.0781842119100385
"LA",0.0766859641404312
"ME",0.132007335917525
"MD",0.0704824278033896
"MA",0.0593776593679668
"MI",0.0504363316539278
"MN",0.0687323552380323
"MS",0.0983194178549326
"MO",0.0680694472255227
"MT",0.171485052650858
"NE",0.116942138276715
"NV",0.144148912874406
"NH",0.137864524777651
"NJ",0.0540549541714207
"NM",0.128829586797946
"NY",0.0371130037150727
"NC",0.0606940400022156
"ND",0.1830251121131
"OH",0.0447393098131532
"OK",0.085256714694039
"OR",0.0913127330823752
"PA",0.0433823666929455
"RI",0.146678124611806
"SC",0.0854411719642778
"SD",0.18453801764775
"TN",0.0692071294691449
"TX",0.0382874543839932
"UT",0.111119962696652
"VT",0.195144091895563
"VA",0.061167288807295
"WA",0.0690135857446393
"WV",0.111392251192806
"WI",0.06601353424231
"WY",0.227118677890016
